date,hy_oas_bp,delta20,z,veto_high_floor,veto_z_gate,veto,quality_flag
1996-12-31,313.0,,,False,False,False,warmup
1997-01-02,306.0,,,False,False,False,warmup
1997-01-03,309.0,,,False,False,False,warmup
1997-01-06,310.0,,,False,False,False,warmup
1997-01-07,310.0,,,False,False,False,warmup
1997-01-08,307.0,,,False,False,False,warmup
1997-01-09,313.0,,,False,False,False,warmup
1997-01-10,316.0,,,False,False,False,warmup
1997-01-13,304.0,,,False,False,False,warmup
1997-01-14,309.0,,,False,False,False,warmup
1997-01-15,307.0,,,False,False,False,warmup
1997-01-16,302.0,,,False,False,False,warmup
1997-01-17,304.0,,,False,False,False,warmup
1997-01-20,303.0,,,False,False,False,warmup
1997-01-21,305.0,,,False,False,False,warmup
1997-01-22,299.0,,,False,False,False,warmup
1997-01-23,297.0,,,False,False,False,warmup
1997-01-24,294.0,,,False,False,False,warmup
1997-01-27,290.0,,,False,False,False,warmup
1997-01-28,292.0,,,False,False,False,warmup
1997-01-29,294.0,-19.0,,False,False,False,warmup
1997-01-30,297.0,-9.0,,False,False,False,warmup
1997-01-31,304.0,-5.0,,False,False,False,warmup
1997-02-03,308.0,-2.0,,False,False,False,warmup
1997-02-04,308.0,-2.0,,False,False,False,warmup
1997-02-05,305.0,-2.0,,False,False,False,warmup
1997-02-06,303.0,-10.0,,False,False,False,warmup
1997-02-07,306.0,-10.0,,False,False,False,warmup
1997-02-10,304.0,0.0,,False,False,False,warmup
1997-02-11,303.0,-6.0,,False,False,False,warmup
1997-02-12,301.0,-6.0,,False,False,False,warmup
1997-02-13,304.0,2.0,,False,False,False,warmup
1997-02-14,305.0,1.0,,False,False,False,warmup
1997-02-18,301.0,-2.0,,False,False,False,warmup
1997-02-19,298.0,-7.0,,False,False,False,warmup
1997-02-20,289.0,-10.0,,False,False,False,warmup
1997-02-21,289.0,-8.0,,False,False,False,warmup
1997-02-24,285.0,-9.0,,False,False,False,warmup
1997-02-25,283.0,-7.0,,False,False,False,warmup
1997-02-26,271.0,-21.0,,False,False,False,warmup
1997-02-27,271.0,-23.0,,False,False,False,warmup
1997-02-28,273.0,-24.0,,False,False,False,warmup
1997-03-03,271.0,-33.0,,False,False,False,warmup
1997-03-04,267.0,-41.0,,False,False,False,warmup
1997-03-05,271.0,-37.0,,False,False,False,warmup
1997-03-06,270.0,-35.0,,False,False,False,warmup
1997-03-07,274.0,-29.0,,False,False,False,warmup
