date,n_contracts,near_rate,near_contract,far_rate,far_contract,terminal_rate,terminal_contract,terminal_maturity,peak_rate,peak_contract,peak_maturity,curve_slope_bp,mid_mean_rate,z6_rate,m7_rate,near_rate_chg,far_rate_chg,terminal_rate_chg,peak_rate_chg,mid_mean_chg,z6_m7_spread,curve_move_bp,curve_move_5d_vol,curve_move_20d_vol,curve_move_5d_sum,curve_move_20d_sum
2018-05-07,20,1.975000,SR3_M18,2.810000,SR3_H23,1.975000,SR3_M18,2018-06-01,2.760000,SR3_Z20,2020-12-01,83.500000,2.716667,,,,,,,,,,,,,
2018-05-08,20,1.980000,SR3_M18,2.820000,SR3_H23,1.980000,SR3_M18,2018-06-01,2.770000,SR3_Z20,2020-12-01,84.000000,2.726667,,,0.005000,0.010000,0.005000,0.010000,0.010000,,0.750000,,,,
2018-05-09,20,1.980000,SR3_M18,2.845000,SR3_H23,1.980000,SR3_M18,2018-06-01,2.795000,SR3_Z20,2020-12-01,86.500000,2.750417,,,0.000000,0.025000,0.000000,0.025000,0.023750,,1.250000,,,,
2018-05-10,20,1.990000,SR3_M18,2.865000,SR3_H23,1.990000,SR3_M18,2018-06-01,2.815000,SR3_Z20,2020-12-01,87.500000,2.770417,,,0.010000,0.020000,0.010000,0.020000,0.020000,,1.500000,,,,
2018-05-11,20,1.995000,SR3_M18,2.880000,SR3_H23,1.995000,SR3_M18,2018-06-01,2.830000,SR3_Z20,2020-12-01,88.500000,2.785417,,,0.005000,0.015000,0.005000,0.015000,0.015000,,1.000000,,,,
2018-05-14,20,1.985000,SR3_M18,2.885000,SR3_H23,1.985000,SR3_M18,2018-06-01,2.835000,SR3_Z20,2020-12-01,90.000000,2.788750,,,-0.010000,0.005000,-0.010000,0.005000,0.003333,,-0.250000,0.675463,,4.250000,
2018-05-15,20,1.995000,SR3_M18,2.915000,SR3_H23,1.995000,SR3_M18,2018-06-01,2.865000,SR3_Z20,2020-12-01,92.000000,2.818750,,,0.010000,0.030000,0.010000,0.030000,0.030000,,2.000000,0.840387,,5.500000,
2018-05-16,20,2.000000,SR3_M18,2.925000,SR3_H23,2.000000,SR3_M18,2018-06-01,2.875000,SR3_Z20,2020-12-01,92.500000,2.828333,,,0.005000,0.010000,0.005000,0.010000,0.009583,,0.750000,0.847791,,5.000000,
2018-05-17,20,2.002500,SR3_M18,2.940000,SR3_H23,2.002500,SR3_M18,2018-06-01,2.890000,SR3_Z20,2020-12-01,93.750000,2.840000,,,0.002500,0.015000,0.002500,0.015000,0.011667,,0.875000,0.800391,,4.375000,
2018-05-18,20,2.000000,SR3_M18,2.915000,SR3_H23,2.000000,SR3_M18,2018-06-01,2.865000,SR3_Z20,2020-12-01,91.500000,2.815417,,,-0.002500,-0.025000,-0.002500,-0.025000,-0.024583,,-1.375000,1.272915,,2.000000,
2018-05-21,20,2.010000,SR3_M18,2.930000,SR3_H23,2.010000,SR3_M18,2018-06-01,2.880000,SR3_Z20,2020-12-01,92.000000,2.829167,,,0.010000,0.015000,0.010000,0.015000,0.013750,,1.250000,1.258099,,3.500000,
2018-05-22,20,2.000000,SR3_M18,2.920000,SR3_H23,2.000000,SR3_M18,2018-06-01,2.870000,SR3_Z20,2020-12-01,92.000000,2.819167,,,-0.010000,-0.010000,-0.010000,-0.010000,-0.010000,,-1.000000,1.197001,,0.500000,
