contract,label,2026-06-16,2026-06-17,2026-06-18
SR3M2026,Jun-26,3.667500000000004,3.700000000000003,3.7150000000000034
SR3N2026,Jul-26,3.7025000000000006,3.760000000000005,3.8075000000000045
SR3Q2026,Aug-26,3.730000000000004,3.8100000000000023,3.8900000000000006
SR3U2026,Sep-26,3.760000000000005,3.864999999999995,3.9650000000000034
SR3V2026,Oct-26,3.819999999999993,3.9350000000000023,4.010000000000005
SR3X2026,Nov-26,3.855000000000004,3.9849999999999994,4.060000000000002
SR3Z2026,Dec-26,3.885000000000005,4.034999999999997,4.125
SR3H2027,Mar-27,3.9399999999999977,4.094999999999999,4.180000000000007
SR3M2027,Jun-27,3.9399999999999977,4.079999999999998,4.144999999999996
SR3U2027,Sep-27,3.9150000000000063,4.034999999999997,4.075000000000003
