contract,mat,close,implied_rate,volume,Δ1D_bp,Δ1W_bp,Δ1M_bp,Δ3M_bp,ΔYTD_bp
M26,2026-06-01,96.3,3.700000000000003,433019,3.2499999999998863,3.499999999999659,4.000000000000625,7.500000000000284,39.00000000000006
U26,2026-09-01,96.135,3.864999999999995,1178418,10.499999999998977,7.499999999998863,12.5,34.499999999999886,70.99999999999937
Z26,2026-12-01,95.965,4.034999999999997,1308965,14.999999999999147,9.499999999999886,17.499999999999716,59.99999999999943,92.49999999999972
H27,2027-03-01,95.905,4.094999999999999,889178,15.500000000000114,5.499999999999261,12.5,70.00000000000028,98.0000000000004
M27,2027-06-01,95.92,4.079999999999998,831979,14.000000000000057,1.5000000000000568,6.999999999999318,73.49999999999994,93.50000000000023
U27,2027-09-01,95.965,4.034999999999997,542054,11.999999999999034,-0.5000000000009663,3.999999999999204,73.49999999999994,84.00000000000034
Z27,2027-12-01,96.025,3.9749999999999943,615114,10.499999999998977,-1.5000000000000568,3.0000000000001137,69.99999999999886,71.99999999999989
M28,2028-06-01,96.12,3.8799999999999955,322418,7.9999999999998295,-5.500000000000682,-2.5000000000005684,57.99999999999983,50.0
Z28,2028-12-01,96.155,3.844999999999999,178682,6.000000000000227,-7.500000000000284,-7.9999999999998295,48.49999999999994,35.99999999999994
M29,2029-06-01,96.16,3.8400000000000034,146488,4.5000000000001705,-9.000000000000341,-11.499999999999488,40.99999999999966,26.00000000000051
Z29,2029-12-01,96.14,3.8599999999999994,92131,3.499999999999659,-9.499999999999886,-13.500000000000512,34.99999999999943,18.999999999999773
