time,close,VIX9D · CBOE: close,VIX3M · CBOE: close,MOVE · TVC: close,US03MY · TVC: close,US02Y · TVC: close,US10Y · TVC: close,100-SR3U2027 · CME: close,100-SR3M2027 · CME: close,100-SR3H2027 · CME: close,100-SR3Z2026 · CME: close,100-SR3X2026 · CME: close,100-SR3V2026 · CME: close,100-SR3U2026 · CME: close,100-SR3Q2026 · CME: close,100-SR3N2026 · CME: close
5/1/2025,3.085,24.82,25.49,107.3295,4.301002,3.697,4.216,3.215,3.15,3.09,3.055,,,3.045,,
5/2/2025,3.255,21.22,24,101.3976,4.32,3.822,4.308,3.345,3.285,3.235,3.205,,,3.205,,
5/5/2025,3.25,22.73,24.55,104.4494,4.32,3.841,4.349,3.34,3.275,3.22,3.19,,,3.19,,
5/6/2025,3.185,24.14,25.41,106.1824,4.32,3.785,4.298,3.285,3.22,3.16,3.125,,,3.125,,
5/7/2025,3.18,22.69,24.7,99.8662,4.325001,3.783,4.269,3.265,3.205,3.145,3.11,,,3.115,,
5/8/2025,3.34,21.63,23.76,98.6632,4.336999,3.88,4.38,3.42,3.36,3.305,3.27,,,3.275,,
5/9/2025,3.33,20.87,23.38,100.3962,4.324998,3.889,4.382,3.415,3.355,3.295,3.255,,,3.26,,
5/12/2025,3.49,17.97,20.22,102.9012,4.396998,4.012,4.473,3.565,3.51,3.46,3.43,,,3.435,,
5/13/2025,3.51,17.41,20.09,100.1328,4.401998,4.002,4.471,3.58,3.525,3.475,3.445,,,3.45,,
5/14/2025,3.565,17.53,20.58,100.7296,4.392002,4.059,4.542,3.615,3.56,3.51,3.485,,,3.5,,
5/15/2025,3.46,15.88,20.25,98.6463,4.368002,3.954,4.431,3.515,3.46,3.405,3.375,,,3.39,,
5/16/2025,3.485,14.35,20.08,96.7005,4.354,3.993,4.445,3.495,3.44,3.39,3.37,,,3.4,,
5/19/2025,3.465,16.81,20.69,103.807,4.353001,3.972,4.449,3.49,3.43,3.38,3.36,,,3.385,,
5/20/2025,3.44,16.57,20.72,101.3677,4.363998,3.97,4.485,3.465,3.405,3.355,3.335,,,3.36,,
5/21/2025,3.49,19.56,22.66,102.0983,4.343,4.022,4.597,3.55,3.48,3.42,3.395,,,3.415,,
5/22/2025,3.48,18.42,22.32,99.4706,4.352999,3.99,4.529,3.505,3.435,3.38,3.365,,,3.395,,
5/23/2025,3.455,20.63,23.8,100.9144,4.345,3.993,4.509,3.46,3.39,3.33,3.315,,,3.355,,
5/27/2025,3.435,17.9,21.29,97.925,4.319,3.977,4.448,3.38,3.315,3.265,3.26,,,3.315,,
5/28/2025,3.485,18.19,21.67,93.2,4.335001,3.992,4.475,3.425,3.365,3.32,3.315,,,3.37,,
5/29/2025,3.42,17.84,21.62,92.667,4.352999,3.939,4.426,3.37,3.305,3.26,3.26,,,3.31,,
5/30/2025,3.4,16.74,21.38,92.1123,4.346,3.9,4.398,3.35,3.29,3.245,3.24,,,3.29,,
6/2/2025,3.435,17.64,21.09,95.7562,4.345,3.939,4.442,3.395,3.335,3.29,3.285,,,3.33,,
6/3/2025,3.47,16.62,20.72,99.9986,4.351002,3.957,4.458,3.415,3.355,3.315,3.315,,,3.365,,
6/4/2025,3.375,16.04,20.66,96.9769,4.345,3.869,4.357,3.33,3.27,3.225,3.225,,,3.27,,
6/5/2025,3.42,17.34,21.11,94.6456,4.342,3.92,4.391,3.395,3.335,3.29,3.285,,,3.325,,
6/6/2025,3.565,14.2,20.02,89.6485,4.346,4.037,4.508,3.54,3.485,3.445,3.435,,,3.475,,
6/9/2025,3.52,15.38,20.09,92.6153,4.355998,4.005,4.476,3.495,3.435,3.385,3.375,,,3.42,,
6/10/2025,3.535,15.16,19.94,91.2179,4.358001,4.024,4.474,3.495,3.435,3.395,3.39,,,3.435,,
6/11/2025,3.46,15.42,20.3,89.3607,4.361001,3.951,4.42,3.42,3.36,3.32,3.315,,,3.36,,
6/12/2025,3.41,16.12,20.65,88.9891,4.384,3.912,4.365,3.37,3.31,3.265,3.26,,,3.305,,
6/13/2025,3.465,19.26,22.62,95.3073,4.366999,3.95,4.409,3.425,3.37,3.325,3.32,,,3.36,,
6/16/2025,3.48,17.87,21.23,93.4817,4.361002,3.973,4.45,3.43,3.37,3.325,3.32,,,3.365,,
6/17/2025,3.47,21.86,22.91,97.1817,4.332001,3.946,4.387,3.375,3.32,3.28,3.28,,,3.34,,
6/18/2025,3.465,19.13,21.97,93.638,4.347999,3.939,4.391,3.375,3.32,3.28,3.28,,,3.335,,
6/20/2025,3.42,18.32,22.48,90.0986,4.314999,3.906,4.377,3.34,3.285,3.245,3.24,,,3.29,,
6/23/2025,3.32,17.92,21.82,95.0288,4.273001,3.863,4.342,3.25,3.19,3.15,3.145,,,3.195,,
6/24/2025,3.285,15.4,20.05,92.617,4.300999,3.821,4.296,3.22,3.16,3.12,3.115,,,3.16,,
6/25/2025,3.275,13.81,19.67,91.2405,4.295998,3.781,4.291,3.215,3.16,3.12,3.115,,,3.155,,
6/26/2025,3.195,13.49,19.45,89.4743,4.329,3.719,4.246,3.155,3.095,3.045,3.035,,,3.075,,
6/27/2025,3.215,12.81,19.45,87.9305,4.307,3.746,4.275,3.185,3.125,3.075,3.065,,,3.1,,
6/30/2025,3.18,13.77,19.44,90.2635,4.304002,3.727,4.232,3.155,3.095,3.045,3.03,,,3.065,,
7/1/2025,3.25,13.79,19.51,93.4824,4.340001,3.772,4.242,3.215,3.155,3.11,3.1,,,3.135,,
7/2/2025,3.26,13.07,19.35,91.3743,4.348,3.791,4.283,3.245,3.18,3.13,3.115,,,3.15,,
7/3/2025,3.365,12.85,19.21,86.0888,4.364001,3.886,4.348,3.285,3.225,3.185,3.18,,,3.235,,
7/7/2025,3.375,15.71,20.21,88.5331,4.351,3.897,4.383,3.305,3.245,3.2,3.195,,,3.245,,
7/8/2025,3.4,13.9,19.58,88.0492,4.363998,3.897,4.403,3.33,3.27,3.225,3.22,,,3.27,,
7/9/2025,3.35,12.53,19.02,84.3141,4.361001,3.849,4.336,3.27,3.215,3.175,3.17,,,3.22,,
7/10/2025,3.36,12.46,18.92,81.5848,4.358,3.872,4.35,3.285,3.23,3.195,3.19,,,3.235,,
7/11/2025,3.415,13.03,19.37,85.483,4.346,3.893,4.417,3.33,3.275,3.235,3.235,,,3.29,,
7/14/2025,3.4,14.27,19.84,90.7253,4.340002,3.904,4.437,3.325,3.27,3.23,3.225,,,3.275,,
7/15/2025,3.475,14.69,20.06,88.9493,4.366001,3.954,4.491,3.385,3.33,3.29,3.29,,,3.345,,
7/16/2025,3.385,13.77,20.09,89.5157,4.353001,3.894,4.459,3.3,3.24,3.195,3.19,,,3.245,,
7/17/2025,3.44,13.14,19.69,85.5695,4.347999,3.907,4.455,3.325,3.27,3.235,3.235,,,3.295,,
7/18/2025,3.405,12.7,19.58,83.2858,4.341002,3.869,4.42,3.28,3.22,3.185,3.19,,,3.255,,
7/21/2025,3.38,14.95,19.51,86.6191,4.334999,3.861,4.38,3.22,3.165,3.135,3.145,,,3.22,,
7/22/2025,3.355,15.03,19.53,89.8912,4.343002,3.833,4.348,3.185,3.13,3.1,3.115,,,3.19,,
7/23/2025,3.42,14.05,18.56,85.9536,4.361001,3.884,4.384,3.255,3.2,3.175,3.19,,,3.265,,
7/24/2025,3.48,14.08,18.56,82.7473,4.358,3.916,4.4,3.3,3.255,3.23,3.25,,,3.325,,
7/25/2025,3.48,12.83,18.32,82.093,4.354,3.921,4.386,3.285,3.24,3.22,3.245,,,3.325,,
7/28/2025,3.495,13.37,18.16,83.727,4.345,3.93,4.414,3.305,3.26,3.24,3.265,,,3.345,,
7/29/2025,3.445,14.62,18.77,85.0709,4.340001,3.869,4.324,3.23,3.185,3.17,3.2,,,3.285,,
7/30/2025,3.53,13.46,18.35,81.8765,4.358001,3.943,4.372,3.28,3.24,3.23,3.265,,,3.36,,
7/31/2025,3.57,15.15,19.14,79.843,4.347999,3.961,4.382,3.275,3.235,3.23,3.275,,,3.385,,
8/1/2025,3.27,19.53,21.24,83.8268,4.299001,3.68,4.216,3.11,3.055,3.025,3.04,,,3.115,,
8/4/2025,3.245,16.43,19.61,87.9481,4.262998,3.679,4.194,3.09,3.04,3.01,3.02,,,3.09,,
8/5/2025,3.285,16.81,20.03,89.1959,4.255001,3.726,4.208,3.1,3.05,3.03,3.05,,,3.125,,
8/6/2025,3.255,15,19.47,83.89,4.242002,3.714,4.232,3.1,3.05,3.025,3.035,,,3.105,,
8/7/2025,3.3,14.76,19.35,80.1454,4.243999,3.724,4.248,3.135,3.09,3.07,3.085,,,3.155,,
8/8/2025,3.335,12.86,18.7,79.1966,4.247998,3.762,4.285,3.18,3.135,3.11,3.125,,,3.19,,
8/11/2025,3.33,15.75,19.25,81.7551,4.258002,3.766,4.279,3.175,3.125,3.105,3.12,,,3.185,,
8/12/2025,3.295,13.11,18.34,77.4219,4.241999,3.733,4.289,3.165,3.11,3.085,3.095,,,3.155,,
8/13/2025,3.25,12.38,18.33,77.3091,4.205999,3.679,4.236,3.105,3.055,3.035,3.05,,,3.11,,
8/14/2025,3.315,12.98,18.49,76.7718,4.223002,3.735,4.289,3.15,3.1,3.08,3.095,,,3.165,,
8/15/2025,3.355,13.27,18.64,76.6637,4.221998,3.755,4.322,3.17,3.12,3.1,3.12,,,3.195,,
8/18/2025,3.37,13.79,18.45,81.8233,4.231999,3.769,4.335,3.18,3.13,3.11,3.135,,,3.215,,
8/19/2025,3.35,14.7,18.9,82.1505,4.221,3.754,4.31,3.155,3.11,3.1,3.125,,,3.2,,
8/20/2025,3.33,15.09,19.1,80.7468,4.216,3.752,4.291,3.14,3.095,3.08,3.1,,,3.175,,
8/21/2025,3.385,16.37,19.41,80.5177,4.239001,3.79,4.328,3.17,3.125,3.11,3.135,,,3.22,,
