datetime,open,high,low,close,volume,position
2022-10-14,95.015,95.015,95.015,95.015,0,0
2022-10-17,95.03,95.03,95.03,95.03,0,0
2022-10-18,95.2,95.2,95.2,95.2,0,0
2022-10-19,95.18,95.185,95.17,95.17,81,81
2022-10-20,95.155,95.155,95.15,95.15,5,86
2022-10-21,95.16,95.29,95.15,95.27,936,597
2022-10-24,95.25,95.25,95.23,95.23,6,597
2022-10-25,95.245,95.245,95.245,95.245,0,597
2022-10-26,95.225,95.3,95.225,95.3,10,589
2022-10-27,95.325,95.325,95.325,95.325,0,589
2022-10-28,95.29,95.29,95.285,95.285,10,599
2022-10-31,95.24,95.24,95.22,95.24,50,619
2022-11-01,95.215,95.215,95.215,95.215,0,619
2022-11-02,95.255,95.255,95.22,95.23,3952,4506
2022-11-03,95.21,95.21,95.16,95.19,3833,8102
2022-11-04,95.155,95.225,95.15,95.225,9155,15844
2022-11-07,95.21,95.215,95.185,95.195,9513,21734
2022-11-08,95.195,95.22,95.18,95.215,4296,23765
2022-11-09,95.22,95.255,95.19,95.23,7418,28062
2022-11-10,95.26,95.355,95.21,95.335,1760,28551
2022-11-11,95.315,95.345,95.31,95.335,567,28620
2022-11-14,95.32,95.325,95.295,95.32,631,28553
2022-11-15,95.325,95.335,95.315,95.325,705,28096
2022-11-16,95.33,95.33,95.305,95.325,1069,29099
2022-11-17,95.32,95.325,95.29,95.305,3628,29703
2022-11-18,95.3,95.3,95.275,95.28,173,31875
2022-11-21,95.27,95.27,95.245,95.26,906,30165
2022-11-22,95.24,95.26,95.23,95.235,1770,31449
2022-11-23,95.22,95.25,95.205,95.245,253,31488
2022-11-25,95.25,95.25,95.25,95.25,569,31540
2022-11-28,95.27,95.27,95.245,95.245,2467,33142
2022-11-29,95.26,95.275,95.26,95.26,872,33637
2022-11-30,95.255,95.28,95.245,95.28,986,33130
2022-12-01,95.315,95.315,95.31,95.315,1776,34418
2022-12-02,95.3,95.315,95.28,95.31,652,34784
2022-12-05,95.295,95.3,95.275,95.28,792,35004
2022-12-06,95.27,95.285,95.27,95.285,310,35138
2022-12-07,95.3,95.305,95.3,95.305,3617,34624
2022-12-08,95.3,95.305,95.295,95.3,3239,32747
2022-12-09,95.295,95.305,95.285,95.29,719,32658
2022-12-12,95.28,95.28,95.26,95.275,2447,32832
