datetime,open,high,low,close,volume,position
2024-09-23,96.43,96.475,96.43,96.475,1,40
2024-09-24,96.505,96.505,96.505,96.505,0,40
2024-09-25,96.485,96.485,96.485,96.485,0,40
2024-09-26,96.405,96.405,96.405,96.405,0,40
2024-09-27,96.45,96.45,96.45,96.45,0,40
2024-09-30,96.35,96.35,96.345,96.345,2,40
2024-10-01,96.36,96.36,96.36,96.36,0,40
2024-10-02,96.345,96.345,96.345,96.345,0,40
2024-10-03,96.255,96.275,96.255,96.275,2,40
2024-10-04,96.035,96.035,96.035,96.035,0,40
2024-10-07,95.935,95.96,95.935,95.96,60,100
2024-10-08,95.98,95.98,95.98,95.98,0,100
2024-10-09,95.93,95.93,95.93,95.93,0,100
2024-10-10,95.925,95.925,95.925,95.925,0,100
2024-10-11,95.97,95.97,95.97,95.97,0,100
2024-10-14,95.93,95.93,95.93,95.93,0,100
2024-10-15,95.945,95.975,95.945,95.955,24,100
2024-10-16,95.955,95.955,95.955,95.955,0,100
2024-10-17,95.9,95.9,95.9,95.9,0,100
2024-10-18,95.92,95.92,95.92,95.92,0,100
2024-10-21,95.9,95.9,95.865,95.87,2,100
2024-10-22,95.875,95.875,95.875,95.875,0,100
2024-10-23,95.85,95.85,95.85,95.85,2,101
2024-10-24,95.875,95.875,95.875,95.875,0,101
2024-10-25,95.855,95.875,95.855,95.875,4,101
2024-10-28,95.845,95.845,95.845,95.845,0,101
2024-10-29,95.855,95.865,95.855,95.865,19,120
2024-10-30,95.86,95.86,95.86,95.86,0,120
2024-10-31,95.845,95.855,95.845,95.855,2,122
2024-11-01,95.8,95.915,95.8,95.84,10,120
2024-11-04,95.845,95.845,95.845,95.845,0,120
2024-11-05,95.81,95.825,95.81,95.825,7,113
2024-11-06,95.785,95.785,95.785,95.785,0,113
2024-11-07,95.795,95.805,95.785,95.785,61,114
2024-11-08,95.755,95.755,95.755,95.755,0,114
2024-11-11,95.73,95.73,95.73,95.73,0,114
2024-11-12,95.705,95.705,95.705,95.705,0,114
2024-11-13,95.775,95.775,95.775,95.775,0,114
2024-11-14,95.745,95.745,95.745,95.745,0,114
2024-11-15,95.71,95.71,95.71,95.71,0,114
2024-11-18,95.705,95.705,95.705,95.705,0,114
2024-11-19,95.7,95.7,95.7,95.7,0,114
2024-11-20,95.685,95.685,95.685,95.685,0,114
2024-11-21,95.69,95.69,95.68,95.68,2,116
2024-11-22,95.685,95.685,95.675,95.675,2,118
2024-11-25,95.675,95.675,95.675,95.675,0,118
2024-11-26,95.695,95.695,95.695,95.695,40,158
2024-11-27,95.73,95.73,95.715,95.715,52,185
2024-11-29,95.74,95.74,95.72,95.72,5,190
2024-12-02,95.7,95.7,95.7,95.7,0,190
2024-12-03,95.73,95.755,95.73,95.745,71,234
2024-12-04,95.76,95.785,95.755,95.77,30,234
2024-12-05,95.755,95.765,95.75,95.765,86,184
2024-12-06,95.815,95.815,95.805,95.815,17,197
2024-12-09,95.795,95.81,95.795,95.805,1291,305
2024-12-10,95.795,95.795,95.795,95.795,0,305
2024-12-11,95.785,95.815,95.785,95.815,179,302
2024-12-12,95.79,95.81,95.79,95.81,955,327
2024-12-13,95.79,95.79,95.79,95.79,1810,326
2024-12-16,95.78,95.78,95.78,95.78,0,326
2024-12-17,95.765,95.7775,95.765,95.7775,3,326
2024-12-18,95.77,95.79,95.755,95.755,27,335
2024-12-19,95.765,95.765,95.765,95.765,0,335
2024-12-20,95.76,95.76,95.76,95.76,19,327
2024-12-23,95.765,95.765,95.745,95.755,146,312
2024-12-24,95.765,95.765,95.755,95.755,10,322
2024-12-26,95.75,95.75,95.75,95.75,0,323
