datetime,open,high,low,close,volume,position
2024-11-15,95.845,95.845,95.845,95.845,0,283
2024-11-18,95.84,95.84,95.84,95.84,0,283
2024-11-19,95.83,95.83,95.83,95.83,0,283
2024-11-20,95.81,95.81,95.81,95.81,0,283
2024-11-21,95.79,95.79,95.79,95.79,0,283
2024-11-22,95.775,95.78,95.755,95.78,216,283
2024-11-25,95.805,95.805,95.805,95.805,0,283
2024-11-26,95.8,95.8,95.8,95.8,0,294
2024-11-27,95.83,95.83,95.83,95.83,0,294
2024-11-29,95.85,95.85,95.85,95.85,0,283
2024-12-02,95.815,95.815,95.815,95.815,0,283
2024-12-03,95.88,95.88,95.88,95.88,0,283
2024-12-04,95.91,95.93,95.91,95.92,10,285
2024-12-05,95.895,95.905,95.895,95.905,2,283
2024-12-06,95.96,95.96,95.96,95.96,0,283
2024-12-09,95.945,95.945,95.945,95.945,0,283
2024-12-10,95.93,95.93,95.93,95.93,0,283
2024-12-11,95.94,95.94,95.94,95.94,0,283
2024-12-12,95.92,95.92,95.92,95.92,0,283
2024-12-13,95.895,95.895,95.895,95.895,0,283
2024-12-16,95.895,95.895,95.885,95.89,2,283
2024-12-17,95.86,95.88,95.86,95.88,1,284
2024-12-18,95.865,95.865,95.815,95.815,2,285
2024-12-19,95.84,95.84,95.84,95.84,0,285
2024-12-20,95.845,95.845,95.845,95.845,0,285
2024-12-23,95.835,95.835,95.82,95.825,58,285
2024-12-24,95.84,95.84,95.84,95.84,0,285
2024-12-26,95.83,95.83,95.83,95.83,0,285
2024-12-27,95.835,95.85,95.835,95.85,20,305
2024-12-30,95.865,95.865,95.865,95.865,10,315
2024-12-31,95.88,95.88,95.865,95.865,4,319
2025-01-02,95.89,95.89,95.855,95.855,1,318
2025-01-03,95.85,95.85,95.85,95.85,0,318
2025-01-06,95.845,95.845,95.845,95.845,0,318
2025-01-07,95.83,95.83,95.83,95.83,0,318
2025-01-08,95.83,95.83,95.83,95.83,0,318
2025-01-09,95.84,95.84,95.84,95.84,0,318
2025-01-10,95.785,95.785,95.785,95.785,0,318
2025-01-13,95.76,95.765,95.75,95.765,324,339
2025-01-14,95.78,95.78,95.775,95.775,968,379
2025-01-15,95.775,95.81,95.775,95.81,75,444
2025-01-16,95.82,95.82,95.82,95.82,0,444
2025-01-17,95.83,95.83,95.82,95.82,300,706
2025-01-21,95.825,95.825,95.805,95.805,85,706
2025-01-22,95.805,95.805,95.795,95.795,25,712
2025-01-23,95.81,95.81,95.81,95.81,0,712
2025-01-24,95.81,95.83,95.81,95.825,19,729
2025-01-27,95.835,95.835,95.835,95.835,0,729
2025-01-28,95.84,95.84,95.83,95.83,283,790
2025-01-29,95.84,95.84,95.805,95.805,200,940
2025-01-30,95.815,95.815,95.81,95.81,25,965
2025-01-31,95.805,95.805,95.805,95.805,0,965
2025-02-03,95.79,95.79,95.785,95.785,200,1091
2025-02-04,95.795,95.795,95.795,95.795,653,1090
2025-02-05,95.805,95.805,95.795,95.795,2,1090
2025-02-06,95.79,95.795,95.78,95.79,3,1090
2025-02-07,95.755,95.76,95.755,95.76,49,1111
2025-02-10,95.76,95.76,95.75,95.75,102,1153
2025-02-11,95.74,95.745,95.74,95.745,84,1231
2025-02-12,95.71,95.71,95.71,95.71,0,1231
2025-02-13,95.715,95.715,95.715,95.715,0,1231
2025-02-14,95.725,95.725,95.725,95.725,11,1242
2025-02-18,95.705,95.7125,95.705,95.7125,10,1248
2025-02-19,95.715,95.715,95.715,95.715,82,1238
2025-02-20,95.735,95.735,95.73,95.73,303,1385
2025-02-21,95.73,95.75,95.73,95.75,559,1740
2025-02-24,95.745,95.75,95.74,95.745,560,2080
2025-02-25,95.755,95.77,95.75,95.75,408,2077
2025-02-26,95.745,95.75,95.745,95.75,128,2192
2025-02-27,95.745,95.75,95.745,95.75,9,2183
2025-02-28,95.755,95.775,95.755,95.775,54,2163
2025-03-03,95.765,95.805,95.765,95.785,700,2021
2025-03-04,95.82,95.83,95.79,95.79,374,1892
2025-03-05,95.815,95.82,95.78,95.78,317,1955
2025-03-06,95.805,95.81,95.805,95.81,7,1952
2025-03-07,95.795,95.795,95.785,95.785,27,1963
2025-03-10,95.79,95.815,95.79,95.81,230,1968
2025-03-11,95.81,95.81,95.795,95.795,140,2004
2025-03-12,95.775,95.81,95.765,95.775,541,2229
2025-03-13,95.77,95.79,95.77,95.78,474,2471
2025-03-14,95.775,95.775,95.77,95.77,810,2475
2025-03-17,95.755,95.7575,95.755,95.755,137,2528
2025-03-18,95.75,95.75,95.75,95.75,8,2523
2025-03-19,95.735,95.75,95.7325,95.75,242,2487
2025-03-20,95.755,95.755,95.7475,95.75,26,2465
2025-03-21,95.755,95.7575,95.7525,95.755,17,2469
2025-03-24,95.7475,95.7475,95.7325,95.7375,379,2545
2025-03-25,95.73,95.7325,95.7275,95.7325,280,2369
2025-03-26,95.7325,95.7325,95.7325,95.7325,10,2369
2025-03-27,95.7325,95.7325,95.7325,95.7325,0,2369
2025-03-28,95.7475,95.7475,95.7475,95.7475,15,2361
2025-03-31,95.745,95.745,95.74,95.745,71,2340
2025-04-01,95.7475,95.75,95.7425,95.745,233,2532
2025-04-02,95.7425,95.7425,95.715,95.73,544,2767
2025-04-03,95.735,95.7675,95.735,95.7525,256,2909
2025-04-04,95.7775,95.8425,95.775,95.795,781,2978
2025-04-07,95.835,95.955,95.7575,95.805,251,3001
2025-04-08,95.78,95.8425,95.78,95.8125,246,3108
2025-04-09,95.8125,95.835,95.7125,95.755,75,3125
2025-04-10,95.765,95.765,95.7625,95.7625,3,3125
2025-04-11,95.73,95.7325,95.73,95.7325,5,3120
2025-04-14,95.7175,95.73,95.715,95.725,145,3065
2025-04-15,95.72,95.725,95.7175,95.725,111,3075
2025-04-16,95.715,95.72,95.715,95.72,459,3065
2025-04-17,95.7125,95.7125,95.7075,95.7075,127,3076
2025-04-21,95.7125,95.715,95.705,95.71,2963,3809
2025-04-22,95.7025,95.705,95.7025,95.705,414,4077
2025-04-23,95.7,95.7,95.7,95.7,0,4077
2025-04-24,95.6975,95.7025,95.6975,95.6975,626,4394
