datetime,open,high,low,close,volume,position
2025-11-17,96.525,96.525,96.525,96.525,0,0
2025-11-18,96.555,96.555,96.555,96.555,0,0
2025-11-19,96.555,96.555,96.555,96.555,0,0
2025-11-20,96.595,96.595,96.595,96.595,0,0
2025-11-21,96.625,96.625,96.625,96.625,0,0
2025-11-24,96.635,96.635,96.635,96.635,0,0
2025-11-25,96.64,96.64,96.64,96.64,0,0
2025-11-26,96.625,96.625,96.625,96.625,0,0
2025-11-28,96.62,96.62,96.62,96.62,0,0
2025-12-01,96.59,96.59,96.59,96.59,0,0
2025-12-02,96.61,96.61,96.61,96.61,0,0
2025-12-03,96.635,96.635,96.635,96.635,0,0
2025-12-04,96.61,96.61,96.61,96.61,0,0
2025-12-05,96.605,96.605,96.585,96.585,1,1
2025-12-08,96.575,96.575,96.575,96.575,0,1
2025-12-09,96.545,96.545,96.545,96.545,1,2
2025-12-10,96.58,96.58,96.58,96.58,0,2
2025-12-11,96.6,96.6,96.6,96.6,0,2
2025-12-12,96.61,96.61,96.61,96.61,0,2
2025-12-15,96.62,96.62,96.62,96.62,0,2
2025-12-16,96.63,96.63,96.63,96.63,0,2
2025-12-17,96.635,96.635,96.635,96.635,0,2
2025-12-18,96.64,96.655,96.64,96.655,37,29
2025-12-19,96.645,96.645,96.645,96.645,2,27
2025-12-22,96.63,96.63,96.63,96.63,0,27
2025-12-23,96.64,96.64,96.605,96.605,200,227
2025-12-24,96.61,96.61,96.61,96.61,0,227
2025-12-26,96.63,96.63,96.63,96.63,0,227
2025-12-29,96.64,96.64,96.64,96.64,0,227
2025-12-30,96.645,96.645,96.645,96.645,0,227
2025-12-31,96.635,96.635,96.635,96.635,0,227
2026-01-02,96.63,96.63,96.63,96.63,0,227
2026-01-05,96.63,96.63,96.63,96.63,0,227
2026-01-06,96.61,96.61,96.61,96.61,0,227
2026-01-07,96.6,96.6,96.6,96.6,0,227
2026-01-08,96.585,96.585,96.585,96.585,0,227
2026-01-09,96.54,96.54,96.54,96.54,0,227
2026-01-12,96.525,96.525,96.525,96.525,0,227
2026-01-13,96.52,96.52,96.52,96.52,0,227
2026-01-14,96.525,96.525,96.525,96.525,0,227
2026-01-15,96.5,96.5,96.49,96.5,280,185
2026-01-16,96.49,96.49,96.49,96.49,200,259
2026-01-20,96.5,96.505,96.495,96.495,78,200
2026-01-21,96.485,96.485,96.485,96.485,0,200
2026-01-22,96.475,96.475,96.475,96.475,0,200
2026-01-23,96.475,96.475,96.475,96.475,0,200
2026-01-26,96.47,96.475,96.47,96.475,62,181
2026-01-27,96.47,96.49,96.47,96.49,50,188
2026-01-28,96.485,96.485,96.485,96.485,0,188
2026-01-29,96.495,96.495,96.495,96.495,0,188
2026-01-30,96.505,96.505,96.505,96.505,0,188
2026-02-02,96.485,96.485,96.485,96.485,0,188
2026-02-03,96.475,96.48,96.47,96.48,138,181
2026-02-04,96.48,96.48,96.48,96.48,0,181
2026-02-05,96.52,96.545,96.52,96.545,121,107
2026-02-06,96.525,96.525,96.525,96.525,0,107
2026-02-09,96.54,96.54,96.54,96.54,107,0
2026-02-10,96.555,96.555,96.555,96.555,0,107
2026-02-11,96.485,96.49,96.485,96.49,250,357
2026-02-12,96.485,96.495,96.485,96.495,50,359
2026-02-13,96.495,96.51,96.495,96.51,4,359
2026-02-17,96.49,96.49,96.49,96.49,0,359
2026-02-18,96.48,96.48,96.475,96.475,8,359
2026-02-19,96.465,96.465,96.465,96.465,2,359
2026-02-20,96.45,96.45,96.445,96.45,42,359
2026-02-23,96.445,96.45,96.43,96.45,617,803
2026-02-24,96.44,96.445,96.44,96.445,283,1086
2026-02-25,96.43,96.44,96.43,96.44,530,1168
2026-02-26,96.445,96.445,96.445,96.445,0,1184
2026-02-27,96.46,96.475,96.46,96.47,179,1074
2026-03-02,96.43,96.43,96.43,96.43,0,1074
2026-03-03,96.425,96.425,96.425,96.425,20,1074
2026-03-04,96.405,96.405,96.405,96.405,0,1119
2026-03-05,96.4,96.4,96.395,96.395,55,1059
2026-03-06,96.415,96.415,96.415,96.415,0,1019
2026-03-09,96.405,96.405,96.405,96.405,200,1046
2026-03-10,96.415,96.415,96.405,96.405,201,1180
2026-03-11,96.405,96.405,96.4,96.4,500,1505
2026-03-12,96.35,96.35,96.35,96.35,0,1466
2026-03-13,96.36,96.365,96.345,96.345,104,1528
2026-03-16,96.35,96.35,96.35,96.35,0,1512
2026-03-17,96.35,96.35,96.35,96.35,0,1512
2026-03-18,96.345,96.345,96.31,96.335,18,1517
2026-03-19,96.26,96.295,96.24,96.295,217,1561
2026-03-20,96.265,96.275,96.265,96.275,1,1523
2026-03-23,96.28,96.285,96.275,96.285,42,1519
2026-03-24,96.28,96.28,96.27,96.27,540,1618
2026-03-25,96.285,96.285,96.28,96.28,6,1623
2026-03-26,96.27,96.27,96.27,96.27,0,1636
2026-03-27,96.29,96.29,96.29,96.29,0,1656
2026-03-30,96.315,96.315,96.315,96.315,0,1653
