datetime,open,high,low,close,volume,position
2023-03-20,95.715,95.715,95.715,95.715,0,0
2023-03-21,95.27,95.28,95.27,95.28,1,1
2023-03-22,95.345,95.345,95.345,95.345,0,1
2023-03-23,95.51,95.51,95.51,95.51,0,1
2023-03-24,95.505,95.505,95.505,95.505,0,1
2023-03-27,95.32,95.32,95.32,95.32,0,1
2023-03-28,95.28,95.31,95.28,95.31,2,2
2023-03-29,95.28,95.28,95.28,95.28,0,2
2023-03-30,95.23,95.23,95.23,95.23,0,2
2023-03-31,95.21,95.21,95.21,95.21,0,2
2023-04-03,95.155,95.155,95.155,95.155,2,2
2023-04-04,95.275,95.275,95.275,95.275,0,2
2023-04-05,95.335,95.335,95.335,95.335,0,2
2023-04-06,95.29,95.29,95.29,95.29,0,2
2023-04-07,95.165,95.165,95.165,95.165,0,2
2023-04-10,95.105,95.105,95.105,95.105,0,2
2023-04-11,95.11,95.11,95.11,95.11,0,2
2023-04-12,95.14,95.14,95.14,95.14,0,2
2023-04-13,95.155,95.155,95.155,95.155,0,2
2023-04-14,95.04,95.04,95.04,95.04,0,2
2023-04-17,94.975,94.985,94.955,94.98,119,27
2023-04-18,94.96,94.975,94.96,94.97,100,100
2023-04-19,94.935,94.935,94.935,94.935,0,100
2023-04-20,94.96,94.96,94.96,94.96,0,100
2023-04-21,94.95,94.95,94.95,94.95,0,100
2023-04-24,94.95,94.95,94.95,94.95,0,100
2023-04-25,95.01,95.055,95.01,95.055,25,100
2023-04-26,95.025,95.06,94.98,95.04,611,637
2023-04-27,94.965,94.975,94.95,94.95,300,337
2023-04-28,94.925,94.96,94.92,94.96,560,881
2023-05-01,94.92,94.92,94.92,94.92,0,881
2023-05-02,94.89,95.045,94.89,95.03,101,981
2023-05-03,95.075,95.075,94.99,94.99,8,981
2023-05-04,95.125,95.18,95.125,95.135,104,1081
2023-05-05,95.07,95.085,95.04,95.04,330,791
2023-05-08,95.0,95.0,95.0,95.0,0,791
2023-05-09,94.985,94.985,94.985,94.985,5,791
2023-05-10,95.035,95.035,95.035,95.035,0,791
2023-05-11,95.005,95.07,95.005,95.02,1216,1151
2023-05-12,95.03,95.03,94.995,94.995,518,1642
2023-05-15,94.975,94.975,94.975,94.975,0,1642
2023-05-16,94.975,94.975,94.945,94.96,1100,2642
2023-05-17,94.92,94.92,94.915,94.92,80,2592
2023-05-18,94.92,94.92,94.845,94.845,40,2592
2023-05-19,94.875,94.875,94.875,94.875,0,2592
2023-05-22,94.82,94.82,94.805,94.82,80,2597
2023-05-23,94.77,94.795,94.77,94.795,181,2563
2023-05-24,94.775,94.775,94.71,94.735,169,2600
2023-05-25,94.7,94.7,94.65,94.665,1021,2665
2023-05-26,94.695,94.695,94.655,94.655,970,3075
2023-05-30,94.675,94.68,94.645,94.645,97,3102
2023-05-31,94.68,94.725,94.68,94.7,520,3602
2023-06-01,94.705,94.74,94.685,94.735,1436,2572
2023-06-02,94.72,94.725,94.675,94.695,555,2390
2023-06-05,94.69,94.705,94.69,94.705,50,2421
2023-06-06,94.715,94.72,94.715,94.715,101,2390
2023-06-07,94.705,94.71,94.695,94.71,203,2390
2023-06-08,94.7,94.71,94.7,94.71,200,2221
2023-06-09,94.705,94.71,94.695,94.7,460,2190
2023-06-12,94.705,94.705,94.69,94.69,206,2216
2023-06-13,94.71,94.75,94.64,94.735,242,2363
2023-06-14,94.715,94.75,94.715,94.745,11540,12607
2023-06-15,94.725,94.74,94.72,94.74,1286,3242
2023-06-16,94.73,94.73,94.72,94.73,264,3447
2023-06-20,94.7175,94.725,94.7075,94.72,1889,4336
2023-06-21,94.71,94.715,94.6925,94.71,783,4624
2023-06-22,94.695,94.71,94.695,94.71,108,4623
2023-06-23,94.725,94.725,94.7125,94.7175,516,5116
2023-06-26,94.7175,94.7175,94.715,94.715,200,5316
2023-06-27,94.7075,94.7175,94.7075,94.7175,541,5364
2023-06-28,94.705,94.72,94.705,94.72,232,5557
2023-06-29,94.7,94.7,94.6925,94.6925,12,5567
2023-06-30,94.695,94.7,94.695,94.695,2,5567
2023-07-03,94.7,94.7,94.6925,94.6925,55,5617
2023-07-05,94.7025,94.7025,94.6975,94.6975,160,5741
2023-07-06,94.69,94.7,94.67,94.6825,604,5844
2023-07-07,94.695,94.6975,94.6825,94.6825,611,6444
2023-07-10,94.6875,94.6875,94.675,94.68,128,6473
2023-07-11,94.6825,94.6825,94.6775,94.6775,39,6494
2023-07-12,94.68,94.695,94.68,94.6875,3502,8114
2023-07-13,94.695,94.6975,94.6875,94.69,823,8331
2023-07-14,94.6875,94.6875,94.685,94.685,834,8207
2023-07-17,94.68,94.6825,94.68,94.68,528,8517
2023-07-18,94.685,94.6875,94.675,94.68,1382,9544
2023-07-19,94.68,94.68,94.675,94.68,27,9540
2023-07-20,94.68,94.68,94.675,94.6775,31,9526
2023-07-21,94.68,94.68,94.6725,94.68,336,9820
2023-07-24,94.6725,94.6775,94.6725,94.6725,17,9814
2023-07-25,94.6725,94.6725,94.6725,94.6725,0,9814
2023-07-26,94.6725,94.6725,94.67,94.67,219,10038
2023-07-27,94.6675,94.6675,94.6675,94.6675,1005,11056
2023-07-28,94.675,94.675,94.67,94.67,132,11170
2023-07-31,94.6675,94.67,94.6675,94.67,20,11169
2023-08-01,94.67,94.67,94.67,94.67,0,11200
2023-08-02,94.6725,94.6725,94.67,94.67,4,11207
2023-08-03,94.67,94.67,94.67,94.67,0,11216
2023-08-04,94.6725,94.675,94.67,94.6725,655,11267
2023-08-07,94.6725,94.6825,94.6725,94.68,829,11292
2023-08-08,94.675,94.6775,94.675,94.6775,1,11291
2023-08-09,94.6775,94.6775,94.6775,94.6775,0,11265
2023-08-10,94.685,94.685,94.6775,94.68,153,11322
2023-08-11,94.6725,94.6775,94.6725,94.6775,1,11317
2023-08-14,94.6775,94.6775,94.6775,94.6775,0,11324
2023-08-15,94.68,94.68,94.675,94.68,76,11340
2023-08-16,94.675,94.6775,94.675,94.6775,108,11344
2023-08-17,94.675,94.68,94.675,94.68,30,11291
2023-08-18,94.6825,94.685,94.68,94.68,1400,12690
2023-08-21,94.6775,94.6775,94.6775,94.6775,120,12672
2023-08-22,94.6775,94.6775,94.6775,94.6775,1,12667
2023-08-23,94.68,94.68,94.68,94.68,0,12691
2023-08-24,94.68,94.68,94.675,94.675,934,12667
2023-08-25,94.67,94.67,94.67,94.67,0,12674
2023-08-28,94.67,94.67,94.67,94.67,0,12668
2023-08-29,94.6725,94.6775,94.6725,94.675,267,12608
2023-08-30,94.68,94.68,94.675,94.675,259,12605
2023-08-31,94.6775,94.6775,94.6775,94.6775,0,12607
2023-09-01,94.68,94.68,94.68,94.68,100,12617
2023-09-05,94.68,94.68,94.6775,94.6775,50,12607
2023-09-06,94.68,94.68,94.6775,94.6775,10,12620
2023-09-07,94.68,94.68,94.6775,94.68,604,12597
2023-09-08,94.685,94.685,94.68,94.68,1,12596
2023-09-11,94.6775,94.6775,94.6775,94.6775,175,12604
2023-09-12,94.6825,94.6825,94.68,94.68,11,12619
2023-09-13,94.68,94.685,94.6775,94.6825,200,12597
2023-09-14,94.6825,94.6825,94.6825,94.6825,123,12738
2023-09-15,94.685,94.685,94.6825,94.6825,502,13228
2023-09-18,94.6825,94.6825,94.6825,94.6825,0,13239
2023-09-19,94.685,94.685,94.6825,94.6825,411,13379
2023-09-20,94.6825,94.685,94.6825,94.6825,1950,15267
2023-09-21,94.6825,94.6825,94.6825,94.6825,1,15272
2023-09-22,94.6825,94.685,94.6825,94.685,70,15224
2023-09-25,94.685,94.685,94.685,94.685,141,15194
2023-09-26,94.6825,94.685,94.6825,94.685,21,15175
2023-09-27,94.6825,94.6825,94.6825,94.6825,1,15184
2023-09-28,94.685,94.685,94.685,94.685,0,15173
2023-09-29,94.6825,94.685,94.6825,94.685,11,15171
