datetime,open,high,low,close,volume,position
2026-02-13,96.74,96.74,96.74,96.74,0,0
2026-02-17,96.705,96.705,96.705,96.705,0,0
2026-02-18,96.7,96.7,96.7,96.7,0,0
2026-02-19,96.675,96.675,96.675,96.675,0,0
2026-02-20,96.655,96.655,96.655,96.655,0,0
2026-02-23,96.675,96.675,96.675,96.675,0,0
2026-02-24,96.66,96.66,96.66,96.66,0,0
2026-02-25,96.64,96.64,96.64,96.64,0,0
2026-02-26,96.645,96.645,96.645,96.645,0,0
2026-02-27,96.69,96.69,96.69,96.69,0,0
2026-03-02,96.62,96.62,96.62,96.62,0,0
2026-03-03,96.6,96.6,96.6,96.6,0,0
2026-03-04,96.56,96.56,96.56,96.56,0,0
2026-03-05,96.53,96.53,96.53,96.53,0,0
2026-03-06,96.575,96.575,96.575,96.575,0,0
2026-03-09,96.54,96.54,96.54,96.54,0,0
2026-03-10,96.555,96.555,96.555,96.555,0,0
2026-03-11,96.51,96.51,96.51,96.51,0,0
2026-03-12,96.41,96.41,96.41,96.41,0,0
2026-03-13,96.42,96.42,96.42,96.42,0,0
2026-03-16,96.44,96.44,96.44,96.44,0,0
2026-03-17,96.46,96.46,96.445,96.445,20,20
2026-03-18,96.4,96.4,96.4,96.4,0,20
2026-03-19,96.295,96.295,96.295,96.295,0,20
2026-03-20,96.265,96.265,96.265,96.265,0,20
2026-03-23,96.285,96.285,96.285,96.285,0,20
2026-03-24,96.21,96.21,96.21,96.21,0,20
2026-03-25,96.245,96.245,96.245,96.245,0,20
2026-03-26,96.2,96.2,96.2,96.2,0,20
2026-03-27,96.25,96.25,96.25,96.25,2,22
2026-03-30,96.31,96.31,96.31,96.31,0,22
2026-03-31,96.33,96.33,96.33,96.33,0,22
2026-04-01,96.33,96.33,96.33,96.33,2,20
2026-04-02,96.34,96.34,96.34,96.34,0,20
2026-04-03,96.31,96.31,96.31,96.31,0,20
2026-04-06,96.305,96.305,96.295,96.3,16,20
2026-04-07,96.305,96.305,96.305,96.305,0,20
2026-04-08,96.315,96.315,96.315,96.315,0,20
2026-04-09,96.33,96.33,96.33,96.33,0,20
2026-04-10,96.325,96.325,96.325,96.325,0,20
2026-04-13,96.335,96.335,96.335,96.335,0,20
2026-04-14,96.34,96.34,96.34,96.34,0,20
2026-04-15,96.34,96.34,96.34,96.34,0,20
2026-04-16,96.345,96.345,96.345,96.345,0,20
2026-04-17,96.39,96.39,96.39,96.39,0,20
2026-04-20,96.38,96.38,96.375,96.375,36,43
2026-04-21,96.355,96.355,96.355,96.355,0,36
2026-04-22,96.355,96.355,96.355,96.355,0,36
2026-04-23,96.355,96.355,96.355,96.355,0,36
2026-04-24,96.38,96.38,96.37,96.37,5,41
2026-04-27,96.355,96.365,96.355,96.365,2,41
2026-04-28,96.335,96.355,96.335,96.355,8,46
2026-04-29,96.335,96.335,96.315,96.325,11,57
2026-04-30,96.345,96.345,96.345,96.345,0,57
2026-05-01,96.345,96.345,96.345,96.345,0,57
2026-05-04,96.33,96.33,96.33,96.33,0,57
2026-05-05,96.34,96.34,96.34,96.34,2,57
2026-05-06,96.365,96.375,96.355,96.355,4,55
2026-05-07,96.35,96.35,96.35,96.35,0,55
2026-05-08,96.355,96.355,96.355,96.355,0,55
2026-05-11,96.33,96.33,96.33,96.33,0,55
2026-05-12,96.31,96.32,96.31,96.32,13,68
2026-05-13,96.3,96.315,96.3,96.315,20,64
2026-05-14,96.315,96.315,96.315,96.315,0,64
2026-05-15,96.3,96.3,96.3,96.3,0,64
2026-05-18,96.285,96.285,96.285,96.285,0,64
2026-05-19,96.26,96.26,96.26,96.26,0,64
2026-05-20,96.28,96.28,96.28,96.28,0,64
2026-05-21,96.25,96.25,96.25,96.25,0,64
2026-05-22,96.23,96.23,96.23,96.23,12,77
2026-05-26,96.265,96.265,96.255,96.255,103,179
2026-05-27,96.265,96.265,96.265,96.265,0,179
2026-05-28,96.27,96.27,96.27,96.27,0,179
2026-05-29,96.28,96.28,96.28,96.28,0,179
2026-06-01,96.28,96.285,96.28,96.28,150,262
2026-06-02,96.285,96.285,96.285,96.285,0,262
2026-06-03,96.28,96.28,96.28,96.28,0,271
2026-06-04,96.285,96.285,96.285,96.285,0,312
2026-06-05,96.25,96.25,96.25,96.25,30,378
2026-06-08,96.24,96.24,96.24,96.24,0,393
2026-06-09,96.245,96.245,96.245,96.245,0,262
2026-06-10,96.245,96.245,96.245,96.245,0,307
2026-06-11,96.265,96.265,96.265,96.265,0,262
2026-06-12,96.265,96.27,96.265,96.27,10,262
2026-06-15,96.27,96.27,96.27,96.27,80,332
2026-06-16,96.275,96.275,96.26,96.27,401,333
2026-06-17,96.26,96.26,96.125,96.19,2,0
