datetime,open,high,low,close,volume,position
2026-05-18,96.16,96.16,96.16,96.16,0,0
2026-05-19,96.125,96.125,96.125,96.125,0,0
2026-05-20,96.18,96.18,96.18,96.18,0,0
2026-05-21,96.13,96.13,96.13,96.13,0,0
2026-05-22,96.09,96.09,96.09,96.09,0,0
2026-05-26,96.15,96.15,96.15,96.15,0,0
2026-05-27,96.175,96.175,96.175,96.175,0,0
2026-05-28,96.18,96.18,96.18,96.18,0,0
2026-05-29,96.195,96.195,96.195,96.195,0,0
2026-06-01,96.165,96.165,96.165,96.165,0,0
2026-06-02,96.17,96.17,96.17,96.17,0,0
2026-06-03,96.15,96.15,96.15,96.15,0,0
2026-06-04,96.17,96.17,96.17,96.17,0,0
2026-06-05,96.085,96.085,96.085,96.085,0,0
2026-06-08,96.07,96.07,96.07,96.07,0,0
2026-06-09,96.09,96.09,96.09,96.09,0,0
2026-06-10,96.095,96.095,96.095,96.095,0,0
2026-06-11,96.14,96.14,96.14,96.14,0,0
2026-06-12,96.145,96.145,96.145,96.145,0,0
2026-06-15,96.165,96.165,96.15,96.15,100,0
2026-06-16,96.145,96.145,96.145,96.145,0,0
2026-06-17,96.035,96.035,96.015,96.015,25,0
