datetime,open,high,low,close,volume,position
2023-07-17,94.745,94.745,94.745,94.745,0,0
2023-07-18,94.735,94.735,94.735,94.735,0,0
2023-07-19,94.745,94.745,94.745,94.745,0,0
2023-07-20,94.705,94.705,94.705,94.705,0,0
2023-07-21,94.71,94.71,94.71,94.71,0,0
2023-07-24,94.705,94.71,94.645,94.685,753,653
2023-07-25,94.67,94.675,94.65,94.65,60,653
2023-07-26,94.68,94.68,94.68,94.68,0,674
2023-07-27,94.63,94.645,94.63,94.645,75,728
2023-07-28,94.67,94.67,94.67,94.67,0,728
2023-07-31,94.675,94.675,94.675,94.675,0,728
2023-08-01,94.67,94.67,94.67,94.67,0,728
2023-08-02,94.69,94.69,94.69,94.69,0,728
2023-08-03,94.67,94.67,94.67,94.67,0,728
2023-08-04,94.65,94.71,94.65,94.71,230,728
2023-08-07,94.71,94.71,94.71,94.71,0,728
2023-08-08,94.705,94.705,94.705,94.705,0,728
2023-08-09,94.715,94.715,94.695,94.7,102,728
2023-08-10,94.705,94.705,94.7,94.7,1,728
2023-08-11,94.67,94.67,94.67,94.67,0,728
2023-08-14,94.635,94.635,94.635,94.635,0,728
2023-08-15,94.655,94.655,94.655,94.655,0,728
2023-08-16,94.635,94.635,94.635,94.635,0,728
2023-08-17,94.635,94.645,94.635,94.645,10,728
2023-08-18,94.655,94.67,94.655,94.66,18,728
2023-08-21,94.605,94.62,94.605,94.62,1,729
2023-08-22,94.6,94.6,94.6,94.6,0,729
2023-08-23,94.63,94.63,94.63,94.63,5,725
2023-08-24,94.59,94.59,94.59,94.59,0,725
2023-08-25,94.54,94.54,94.54,94.54,0,725
2023-08-28,94.535,94.535,94.535,94.535,0,725
2023-08-29,94.595,94.595,94.595,94.595,0,725
2023-08-30,94.61,94.61,94.61,94.61,0,725
2023-08-31,94.635,94.635,94.635,94.635,0,725
2023-09-01,94.64,94.64,94.64,94.64,0,725
2023-09-05,94.625,94.625,94.58,94.58,4,729
2023-09-06,94.57,94.57,94.57,94.57,0,729
2023-09-07,94.58,94.58,94.58,94.58,0,729
2023-09-08,94.58,94.58,94.58,94.58,0,729
2023-09-11,94.57,94.57,94.565,94.565,19,729
2023-09-12,94.56,94.57,94.56,94.57,170,896
2023-09-13,94.57,94.57,94.57,94.57,0,896
2023-09-14,94.575,94.575,94.575,94.575,0,896
2023-09-15,94.57,94.57,94.57,94.57,0,896
2023-09-18,94.555,94.555,94.555,94.555,0,896
2023-09-19,94.545,94.545,94.545,94.545,0,896
2023-09-20,94.53,94.53,94.51,94.525,80,896
2023-09-21,94.525,94.525,94.525,94.525,0,896
2023-09-22,94.535,94.535,94.535,94.535,0,896
2023-09-25,94.535,94.535,94.535,94.535,0,896
2023-09-26,94.535,94.545,94.53,94.545,20,896
2023-09-27,94.53,94.53,94.515,94.52,78,870
2023-09-28,94.535,94.55,94.515,94.55,8,870
2023-09-29,94.55,94.555,94.55,94.555,5,870
2023-10-02,94.54,94.54,94.52,94.52,800,1250
2023-10-03,94.515,94.525,94.495,94.515,1000,930
2023-10-04,94.545,94.57,94.545,94.57,282,880
2023-10-05,94.565,94.58,94.565,94.58,2,878
2023-10-06,94.545,94.545,94.54,94.54,39,878
2023-10-09,94.6,94.6,94.6,94.6,0,878
2023-10-10,94.59,94.595,94.59,94.595,4,877
2023-10-11,94.58,94.59,94.58,94.585,358,1086
2023-10-12,94.56,94.56,94.56,94.56,0,1086
2023-10-13,94.575,94.575,94.575,94.575,0,1086
2023-10-16,94.56,94.56,94.56,94.56,11,1086
2023-10-17,94.545,94.545,94.5,94.51,681,945
2023-10-18,94.515,94.52,94.505,94.52,344,981
2023-10-19,94.515,94.55,94.515,94.55,387,1225
2023-10-20,94.56,94.575,94.56,94.575,119,1333
2023-10-23,94.565,94.565,94.565,94.565,0,1333
2023-10-24,94.56,94.56,94.56,94.56,289,1333
2023-10-25,94.56,94.56,94.555,94.555,12,1321
2023-10-26,94.54,94.585,94.54,94.575,88,1302
2023-10-27,94.585,94.585,94.585,94.585,0,1302
2023-10-30,94.585,94.585,94.57,94.57,40,1302
2023-10-31,94.57,94.57,94.56,94.56,498,1461
2023-11-01,94.59,94.6,94.58,94.58,3,1462
2023-11-02,94.595,94.595,94.585,94.585,730,1886
2023-11-03,94.57,94.63,94.57,94.63,30,1856
2023-11-06,94.625,94.625,94.62,94.625,195,1839
2023-11-07,94.625,94.63,94.625,94.63,4,1839
2023-11-08,94.62,94.62,94.62,94.62,0,1839
2023-11-09,94.62,94.62,94.585,94.595,217,1663
2023-11-10,94.6,94.605,94.595,94.595,155,1752
2023-11-13,94.58,94.585,94.58,94.58,7,1759
2023-11-14,94.575,94.65,94.575,94.65,1564,2150
2023-11-15,94.65,94.65,94.635,94.635,563,2472
2023-11-16,94.65,94.655,94.645,94.645,207,2514
2023-11-17,94.64,94.64,94.64,94.64,0,2514
2023-11-20,94.63,94.64,94.625,94.635,9,2511
2023-11-21,94.63,94.63,94.63,94.63,120,2471
2023-11-22,94.615,94.615,94.615,94.615,322,2554
2023-11-24,94.625,94.625,94.61,94.61,200,2634
2023-11-27,94.615,94.615,94.615,94.615,42,2674
2023-11-28,94.64,94.64,94.63,94.63,5,2674
2023-11-29,94.645,94.675,94.645,94.655,77,2698
2023-11-30,94.655,94.66,94.65,94.65,1056,2798
