datetime,open,high,low,close,volume,position
2022-11-14,95.14,95.17,95.14,95.17,150,150
2022-11-15,95.205,95.205,95.205,95.205,30,150
2022-11-16,95.205,95.21,95.185,95.205,530,509
2022-11-17,95.205,95.205,95.15,95.17,2454,2841
2022-11-18,95.135,95.135,95.135,95.135,2427,5232
2022-11-21,95.115,95.115,95.115,95.115,3,5235
2022-11-22,95.105,95.105,95.09,95.09,452,5653
2022-11-23,95.055,95.115,95.055,95.115,644,6123
2022-11-25,95.14,95.14,95.12,95.12,191,6267
2022-11-28,95.145,95.145,95.115,95.115,234,6492
2022-11-29,95.135,95.135,95.135,95.135,61,6523
2022-11-30,95.145,95.17,95.145,95.16,254,6292
2022-12-01,95.2,95.225,95.19,95.215,4155,9718
2022-12-02,95.225,95.24,95.18,95.2,496,9962
2022-12-05,95.145,95.145,95.145,95.145,0,9962
2022-12-06,95.15,95.15,95.15,95.15,53,9949
2022-12-07,95.16,95.185,95.155,95.175,143,9925
2022-12-08,95.18,95.18,95.17,95.17,50,9925
2022-12-09,95.17,95.18,95.16,95.16,11,9921
2022-12-12,95.145,95.145,95.125,95.14,134,9876
2022-12-13,95.225,95.225,95.225,95.225,10,9886
2022-12-14,95.23,95.23,95.23,95.23,1,9885
2022-12-15,95.225,95.23,95.225,95.23,115,9810
2022-12-16,95.23,95.26,95.22,95.25,1325,10716
2022-12-19,95.26,95.26,95.225,95.225,363,10708
2022-12-20,95.225,95.225,95.225,95.225,2,10706
2022-12-21,95.245,95.245,95.24,95.24,72,10634
2022-12-22,95.24,95.24,95.235,95.235,581,10857
2022-12-23,95.215,95.22,95.205,95.21,523,10573
2022-12-27,95.18,95.18,95.17,95.17,23,10550
2022-12-28,95.195,95.195,95.185,95.185,20,10550
2022-12-29,95.21,95.21,95.2,95.2,69,10486
2022-12-30,95.185,95.19,95.185,95.19,121,10436
2023-01-03,95.185,95.185,95.185,95.185,20,10426
2023-01-04,95.205,95.205,95.19,95.19,76,10435
2023-01-05,95.17,95.175,95.17,95.175,158,10480
2023-01-06,95.14,95.2,95.14,95.195,198,10405
2023-01-09,95.21,95.22,95.205,95.21,1328,10625
2023-01-10,95.21,95.21,95.195,95.21,3233,11226
2023-01-11,95.22,95.225,95.205,95.21,222,11036
2023-01-12,95.21,95.245,95.085,95.245,147,11043
2023-01-13,95.25,95.25,95.24,95.245,140,11159
2023-01-17,95.2475,95.2475,95.2475,95.2475,535,11483
2023-01-18,95.2575,95.2575,95.2575,95.2575,20,11483
2023-01-19,95.2575,95.2575,95.2575,95.2575,0,11483
2023-01-20,95.26,95.26,95.26,95.26,38,11521
2023-01-23,95.25,95.25,95.2475,95.2475,20,11531
2023-01-24,95.2475,95.255,95.245,95.255,6766,14902
2023-01-25,95.255,95.265,95.255,95.26,852,15070
2023-01-26,95.26,95.26,95.255,95.26,1565,15904
2023-01-27,95.255,95.265,95.255,95.265,2583,17542
2023-01-30,95.2625,95.265,95.26,95.265,650,17593
2023-01-31,95.265,95.2675,95.265,95.2675,414,17544
2023-02-01,95.265,95.2775,95.265,95.27,1275,17818
2023-02-02,95.2725,95.2725,95.2725,95.2725,710,17598
2023-02-03,95.2725,95.2725,95.2425,95.25,1967,17950
2023-02-06,95.245,95.2475,95.235,95.24,2813,18824
2023-02-07,95.235,95.24,95.235,95.24,51,18824
2023-02-08,95.2425,95.2425,95.2325,95.2375,1758,19141
2023-02-09,95.2325,95.2325,95.2325,95.2325,369,19129
2023-02-10,95.2325,95.2375,95.2325,95.2325,4126,17215
2023-02-13,95.235,95.2425,95.23,95.23,7942,17206
2023-02-14,95.2325,95.2325,95.2275,95.23,482,16679
2023-02-15,95.2325,95.2325,95.23,95.23,296,16610
2023-02-16,95.23,95.23,95.23,95.23,0,16610
2023-02-17,95.21,95.2225,95.21,95.2225,52,16560
2023-02-21,95.235,95.235,95.205,95.205,48,16560
2023-02-22,95.2125,95.2125,95.2,95.2,224,16560
2023-02-23,95.195,95.2,95.1925,95.2,371,16510
2023-02-24,95.1975,95.1975,95.1975,95.1975,0,16510
2023-02-27,95.215,95.215,95.2,95.2,1,16510
