datetime,open,high,low,close,volume,position
2023-01-13,95.055,95.055,95.055,95.055,0,0
2023-01-17,95.09,95.12,95.09,95.09,20,0
2023-01-18,95.115,95.15,95.115,95.135,220,208
2023-01-19,95.12,95.12,95.12,95.12,0,208
2023-01-20,95.11,95.115,95.11,95.115,220,427
2023-01-23,95.11,95.11,95.085,95.085,139,557
2023-01-24,95.095,95.1,95.085,95.095,154,654
2023-01-25,95.1,95.125,95.1,95.115,123,769
2023-01-26,95.11,95.115,95.1,95.105,623,1379
2023-01-27,95.11,95.11,95.105,95.105,116,1485
2023-01-30,95.095,95.095,95.095,95.095,1,1486
2023-01-31,95.11,95.11,95.11,95.11,0,1486
2023-02-01,95.115,95.115,95.115,95.115,905,2265
2023-02-02,95.14,95.14,95.125,95.125,10,2257
2023-02-03,95.055,95.055,95.035,95.04,1267,3487
2023-02-06,94.99,94.99,94.99,94.99,56,3487
2023-02-07,94.97,94.97,94.96,94.965,228,3660
2023-02-08,94.975,94.975,94.955,94.96,79,3659
2023-02-09,94.975,94.975,94.955,94.955,20,3671
2023-02-10,94.95,94.95,94.95,94.95,60,3615
2023-02-13,94.94,94.94,94.94,94.94,0,3615
2023-02-14,94.925,94.93,94.905,94.91,260,3433
2023-02-15,94.915,94.915,94.915,94.915,0,3433
2023-02-16,94.895,94.92,94.895,94.92,5,3433
2023-02-17,94.865,94.885,94.865,94.885,164,3595
2023-02-21,94.885,94.885,94.85,94.85,97,3654
2023-02-22,94.86,94.86,94.83,94.83,312,3754
2023-02-23,94.835,94.835,94.82,94.83,21,3746
2023-02-24,94.83,94.83,94.83,94.83,1383,3965
2023-02-27,94.83,94.835,94.83,94.83,35,3936
2023-02-28,94.83,94.83,94.83,94.83,108,3928
2023-03-01,94.805,94.815,94.805,94.815,533,3941
2023-03-02,94.805,94.815,94.8,94.815,714,3734
2023-03-03,94.81,94.81,94.81,94.81,374,3789
2023-03-06,94.795,94.795,94.79,94.795,2025,5555
2023-03-07,94.795,94.795,94.65,94.65,1177,6335
2023-03-08,94.625,94.64,94.615,94.615,214,6402
2023-03-09,94.615,94.695,94.605,94.65,1395,6080
2023-03-10,94.69,94.855,94.69,94.81,4463,7821
2023-03-13,94.87,95.4225,94.87,95.27,26089,14090
2023-03-14,95.3375,95.35,95.0175,95.135,16185,16724
2023-03-15,95.025,95.4875,94.9975,95.23,29250,21145
2023-03-16,95.3025,95.3025,95.07,95.1225,23362,26195
2023-03-17,95.09,95.315,95.09,95.2875,8618,27643
2023-03-20,95.24,95.41,95.16,95.2025,5041,28495
2023-03-21,95.2625,95.2625,95.0625,95.085,9992,28564
2023-03-22,95.08,95.1225,95.0375,95.075,9421,32368
2023-03-23,95.145,95.18,95.0925,95.1525,5495,33064
2023-03-24,95.16,95.2825,95.1525,95.1775,8352,35832
2023-03-27,95.1425,95.1425,95.085,95.0875,6785,38602
2023-03-28,95.1025,95.1075,95.055,95.1025,4424,39991
2023-03-29,95.1025,95.135,95.095,95.105,44496,54433
2023-03-30,95.1,95.1225,95.0725,95.085,6865,56695
2023-03-31,95.0725,95.08,95.05,95.0775,2590,56751
2023-04-03,95.06,95.06,95.0425,95.0475,3523,56875
2023-04-04,95.045,95.1125,95.0325,95.0925,8375,58814
