datetime,open,high,low,close,volume,position
2023-02-13,94.82,94.82,94.82,94.82,0,0
2023-02-14,94.79,94.79,94.79,94.79,0,0
2023-02-15,94.81,94.81,94.81,94.81,0,0
2023-02-16,94.815,94.815,94.815,94.815,0,0
2023-02-17,94.78,94.78,94.78,94.78,0,0
2023-02-21,94.795,94.795,94.74,94.745,103,102
2023-02-22,94.76,94.765,94.725,94.725,9,111
2023-02-23,94.74,94.74,94.735,94.735,9,120
2023-02-24,94.725,94.725,94.725,94.725,0,120
2023-02-27,94.725,94.725,94.725,94.725,0,120
2023-02-28,94.72,94.72,94.72,94.72,0,120
2023-03-01,94.7,94.7,94.7,94.7,1,121
2023-03-02,94.68,94.7,94.68,94.7,100,221
2023-03-03,94.68,94.69,94.68,94.69,200,321
2023-03-06,94.67,94.68,94.67,94.67,150,262
2023-03-07,94.515,94.515,94.515,94.515,0,262
2023-03-08,94.465,94.465,94.465,94.465,0,262
2023-03-09,94.525,94.56,94.51,94.51,596,716
2023-03-10,94.605,94.795,94.565,94.73,1060,598
2023-03-13,94.835,95.515,94.83,95.39,1818,1023
2023-03-14,95.325,95.34,95.04,95.205,3403,3635
2023-03-15,95.035,95.745,95.035,95.385,5781,7270
2023-03-16,95.335,95.425,95.185,95.185,3893,7466
2023-03-17,95.155,95.43,95.145,95.415,1331,8094
2023-03-20,95.43,95.475,95.29,95.33,282,8117
2023-03-21,95.14,95.165,95.08,95.11,2334,8038
2023-03-22,95.075,95.175,95.03,95.12,3081,9191
2023-03-23,95.16,95.265,95.14,95.23,1086,8812
2023-03-24,95.335,95.385,95.255,95.255,750,8467
2023-03-27,95.2,95.2,95.11,95.115,132,8373
2023-03-28,95.07,95.13,95.07,95.13,249,8302
2023-03-29,95.11,95.145,95.105,95.12,1063,8424
2023-03-30,95.125,95.125,95.08,95.085,811,8521
2023-03-31,95.06,95.075,95.05,95.075,483,8620
2023-04-03,95.03,95.06,95.025,95.035,1415,8476
2023-04-04,95.035,95.135,95.01,95.11,2541,10084
2023-04-05,95.1,95.23,95.075,95.125,1476,11095
2023-04-06,95.13,95.135,95.09,95.105,5018,11171
2023-04-07,95.09,95.085,95.005,95.015,395,11277
2023-04-10,95.015,95.015,94.98,94.985,81,11393
2023-04-11,94.985,94.995,94.975,94.985,1957,11669
2023-04-12,94.98,95.005,94.975,94.995,1084,12173
2023-04-13,95.01,95.02,95.0,95.005,2431,13626
2023-04-14,95.005,95.005,94.925,94.95,6047,16956
2023-04-17,94.93,94.93,94.9,94.9075,4612,18414
2023-04-18,94.91,94.92,94.895,94.91,6245,22461
2023-04-19,94.8975,94.9,94.8875,94.9,940,22752
2023-04-20,94.89,94.9125,94.885,94.9075,2281,22579
2023-04-21,94.9225,94.9225,94.9025,94.905,2197,22429
2023-04-24,94.905,94.92,94.8975,94.9,5028,23365
2023-04-25,94.93,94.9975,94.915,94.965,6912,23599
2023-04-26,94.965,94.9875,94.9325,94.9675,5269,23163
2023-04-27,94.96,94.96,94.8975,94.9075,5702,22407
2023-04-28,94.91,94.93,94.9025,94.91,3874,24164
2023-05-01,94.9025,94.9025,94.87,94.8925,3404,25740
2023-05-02,94.885,95.01,94.86,94.955,6646,25706
2023-05-03,94.95,94.9575,94.9125,94.915,3542,27909
2023-05-04,94.985,95.01,94.9325,94.9725,2253,26843
2023-05-05,94.945,94.95,94.915,94.9425,1853,27635
2023-05-08,94.9225,94.9375,94.91,94.915,1514,27651
2023-05-09,94.9225,94.925,94.895,94.9075,1401,28336
2023-05-10,94.89,94.9425,94.89,94.9325,1875,29404
2023-05-11,94.925,94.9425,94.925,94.93,1688,29628
2023-05-12,94.915,94.9175,94.91,94.9125,1699,28557
2023-05-15,94.9025,94.91,94.9,94.9,4291,26311
2023-05-16,94.9,94.9,94.885,94.8875,1337,25529
2023-05-17,94.8625,94.87,94.86,94.87,590,25439
2023-05-18,94.8675,94.8675,94.8325,94.84,3418,25598
2023-05-19,94.8425,94.875,94.8325,94.86,1439,25664
2023-05-22,94.855,94.855,94.8425,94.8425,1170,25671
2023-05-23,94.83,94.8325,94.8125,94.8275,4251,29198
2023-05-24,94.81,94.81,94.7825,94.8,1160,28848
2023-05-25,94.8,94.8,94.7625,94.775,1463,27684
2023-05-26,94.79,94.7975,94.76,94.7675,1029,27693
2023-05-30,94.78,94.78,94.7575,94.76,39,27684
2023-05-31,94.7725,94.8075,94.7575,94.7975,1023,28048
2023-06-01,94.8125,94.8175,94.81,94.8125,2451,28048
2023-06-02,94.81,94.8125,94.795,94.805,1369,27948
2023-06-05,94.8,94.81,94.8,94.81,113,28022
2023-06-06,94.8175,94.825,94.8175,94.82,860,27885
2023-06-07,94.825,94.8275,94.805,94.82,548,27728
2023-06-08,94.81,94.82,94.81,94.82,200,27728
2023-06-09,94.825,94.825,94.8175,94.8175,463,27568
2023-06-12,94.8225,94.825,94.815,94.82,1604,27816
2023-06-13,94.8275,94.86,94.825,94.8475,277,27853
2023-06-14,94.845,94.86,94.8425,94.86,265,27888
2023-06-15,94.86,94.865,94.86,94.865,87,27916
2023-06-16,94.8625,94.8625,94.86,94.8625,276,27941
2023-06-20,94.855,94.8625,94.855,94.8575,50,27966
2023-06-21,94.855,94.855,94.855,94.855,0,27966
