datetime,open,high,low,close,volume,position
2024-01-12,95.735,95.735,95.735,95.735,0,0
2024-01-16,95.62,95.62,95.62,95.62,0,0
2024-01-17,95.465,95.48,95.445,95.48,457,100
2024-01-18,95.49,95.495,95.49,95.49,100,35
2024-01-19,95.43,95.43,95.41,95.41,148,5
2024-01-22,95.41,95.41,95.41,95.41,0,5
2024-01-23,95.415,95.415,95.415,95.415,0,5
2024-01-24,95.41,95.41,95.4,95.4,60,60
2024-01-25,95.41,95.46,95.41,95.46,102,162
2024-01-26,95.43,95.43,95.42,95.42,80,102
2024-01-29,95.435,95.435,95.435,95.435,4,102
2024-01-30,95.395,95.395,95.395,95.395,0,102
2024-01-31,95.53,95.53,95.51,95.53,8,102
2024-02-01,95.49,95.56,95.49,95.52,365,319
2024-02-02,95.44,95.44,95.325,95.325,11,319
2024-02-05,95.26,95.26,95.26,95.26,0,319
2024-02-06,95.31,95.31,95.31,95.31,0,319
2024-02-07,95.31,95.31,95.31,95.31,0,319
2024-02-08,95.28,95.28,95.28,95.28,1,319
2024-02-09,95.235,95.24,95.235,95.24,7,318
2024-02-12,95.23,95.23,95.23,95.23,0,318
2024-02-13,95.065,95.065,95.065,95.065,0,318
2024-02-14,95.11,95.11,95.11,95.11,0,318
2024-02-15,95.105,95.105,95.105,95.105,0,318
2024-02-16,95.055,95.055,95.055,95.055,0,318
2024-02-20,95.075,95.075,95.075,95.075,0,318
2024-02-21,95.045,95.045,95.045,95.045,0,318
2024-02-22,95.0,95.0,95.0,95.0,0,318
2024-02-23,95.0,95.0,95.0,95.0,0,318
2024-02-26,94.98,94.98,94.95,94.96,49,365
2024-02-27,94.955,94.955,94.955,94.955,0,365
2024-02-28,94.96,94.985,94.945,94.985,33,350
2024-02-29,95.0,95.0,94.985,94.985,1,350
2024-03-01,95.05,95.06,95.05,95.06,28,322
2024-03-04,95.015,95.015,95.005,95.005,29,322
2024-03-05,95.035,95.035,95.035,95.035,0,322
2024-03-06,95.05,95.05,95.03,95.03,13,309
2024-03-07,95.055,95.055,95.055,95.055,0,309
2024-03-08,95.06,95.06,95.06,95.06,0,309
2024-03-11,95.04,95.04,95.04,95.04,63,246
2024-03-12,95.005,95.005,95.005,95.005,0,246
2024-03-13,94.985,94.985,94.985,94.985,0,246
2024-03-14,94.955,94.955,94.955,94.955,0,246
2024-03-15,94.94,94.94,94.94,94.94,0,246
2024-03-18,94.91,94.92,94.91,94.92,16,230
2024-03-19,94.935,94.935,94.935,94.935,22,216
2024-03-20,94.94,94.995,94.94,94.995,11,214
2024-03-21,94.98,94.98,94.98,94.98,0,214
2024-03-22,95.0,95.0,95.0,95.0,0,214
2024-03-25,94.985,94.985,94.98,94.98,6,211
2024-03-26,94.975,94.975,94.975,94.975,0,211
2024-03-27,94.975,94.975,94.975,94.975,0,211
2024-03-28,94.95,94.95,94.95,94.95,0,211
2024-04-01,94.885,94.9,94.885,94.9,2,213
2024-04-02,94.925,94.925,94.925,94.925,0,213
2024-04-03,94.925,94.925,94.925,94.925,0,213
2024-04-04,94.96,94.96,94.96,94.96,0,213
2024-04-05,94.91,94.91,94.91,94.91,40,213
2024-04-08,94.895,94.895,94.89,94.89,1,212
2024-04-09,94.885,94.91,94.885,94.91,100,312
2024-04-10,94.775,94.775,94.775,94.775,0,312
2024-04-11,94.795,94.795,94.795,94.795,0,312
2024-04-12,94.825,94.825,94.825,94.825,0,312
2024-04-15,94.805,94.805,94.805,94.805,0,312
2024-04-16,94.795,94.795,94.795,94.795,40,312
2024-04-17,94.795,94.795,94.795,94.795,0,312
2024-04-18,94.785,94.785,94.785,94.785,0,312
2024-04-19,94.795,94.795,94.795,94.795,0,312
2024-04-22,94.79,94.79,94.785,94.785,9,303
2024-04-23,94.775,94.8,94.775,94.8,276,231
2024-04-24,94.775,94.79,94.775,94.79,25,231
2024-04-25,94.76,94.76,94.76,94.76,192,314
2024-04-26,94.76,94.76,94.76,94.76,0,314
2024-04-29,94.75,94.75,94.75,94.75,50,314
2024-04-30,94.755,94.755,94.73,94.73,105,394
2024-05-01,94.735,94.735,94.735,94.735,0,394
2024-05-02,94.76,94.765,94.76,94.76,12,394
2024-05-03,94.78,94.78,94.77,94.77,25,394
2024-05-06,94.77,94.77,94.77,94.77,70,423
2024-05-07,94.76,94.76,94.76,94.76,40,403
2024-05-08,94.76,94.76,94.76,94.76,0,403
2024-05-09,94.765,94.765,94.765,94.765,21,398
2024-05-10,94.78,94.78,94.755,94.755,40,430
