datetime,open,high,low,close,volume,position
2022-07-25,97.2625,97.2625,97.245,97.245,2,0
2022-07-26,97.265,97.265,97.265,97.265,0,0
2022-07-27,97.25,97.32,97.25,97.32,10,0
2022-07-28,97.335,97.335,97.335,97.335,0,0
2022-07-29,97.325,97.325,97.325,97.325,0,0
2022-08-01,97.315,97.315,97.315,97.315,0,0
2022-08-02,97.2825,97.2825,97.2825,97.2825,0,0
2022-08-03,97.2775,97.2775,97.2775,97.2775,0,0
2022-08-04,97.3025,97.3025,97.3025,97.3025,0,0
2022-08-05,97.2225,97.24,97.2225,97.2225,240,0
2022-08-08,97.2225,97.2225,97.2225,97.2225,0,0
2022-08-09,97.215,97.215,97.215,97.215,0,0
2022-08-10,97.2775,97.2775,97.2775,97.2775,0,0
2022-08-11,97.2725,97.2725,97.2725,97.2725,0,0
2022-08-12,97.2725,97.2725,97.2725,97.2725,0,0
2022-08-15,97.2825,97.2825,97.2825,97.2825,0,0
2022-08-16,97.28,97.28,97.28,97.28,0,0
2022-08-17,97.285,97.285,97.285,97.285,0,0
2022-08-18,97.2875,97.2875,97.2875,97.2875,0,0
2022-08-19,97.2775,97.2775,97.2775,97.2775,0,0
2022-08-22,97.2525,97.2525,97.2525,97.2525,0,0
2022-08-23,97.26,97.26,97.26,97.26,0,0
2022-08-24,97.2425,97.2425,97.2425,97.2425,0,0
2022-08-25,97.2375,97.2375,97.2375,97.2375,0,0
2022-08-26,97.24,97.24,97.24,97.24,0,0
2022-08-29,97.2175,97.2175,97.2175,97.2175,0,0
2022-08-30,97.2175,97.2175,97.2175,97.2175,0,0
2022-08-31,97.2275,97.2275,97.2275,97.2275,0,0
2022-09-01,97.205,97.205,97.205,97.205,0,0
2022-09-02,97.2625,97.2625,97.2625,97.2625,0,0
2022-09-06,97.215,97.215,97.215,97.215,0,0
2022-09-07,97.2125,97.2125,97.2125,97.2125,0,0
2022-09-08,97.195,97.195,97.195,97.195,0,0
2022-09-09,97.1875,97.1875,97.1875,97.1875,0,0
2022-09-12,97.1825,97.1825,97.1825,97.1825,0,0
2022-09-13,97.11,97.11,97.11,97.11,0,0
2022-09-14,97.12,97.12,97.12,97.12,0,0
2022-09-15,97.12,97.12,97.12,97.12,0,0
2022-09-16,97.1375,97.1375,97.1375,97.1375,0,0
2022-09-19,97.1225,97.1225,97.1225,97.1225,0,0
2022-09-20,97.13,97.13,97.13,97.13,0,0
2022-09-21,97.1475,97.1475,97.1475,97.1475,0,0
2022-09-22,97.1525,97.1525,97.1525,97.1525,0,0
2022-09-23,97.145,97.145,97.145,97.145,0,0
2022-09-26,97.1425,97.1425,97.1425,97.1425,0,0
2022-09-27,97.1525,97.1625,97.15,97.1625,201,201
2022-09-28,97.17,97.17,97.17,97.17,0,201
2022-09-29,97.175,97.175,97.175,97.175,0,201
2022-09-30,97.1675,97.1675,97.1675,97.1675,0,201
2022-10-03,97.16,97.16,97.16,97.16,0,201
2022-10-04,97.15,97.15,97.15,97.15,0,201
2022-10-05,97.15,97.15,97.15,97.15,0,201
2022-10-06,97.1475,97.1475,97.1475,97.1475,0,201
2022-10-07,97.145,97.145,97.145,97.145,0,201
2022-10-10,97.1475,97.1475,97.1475,97.1475,0,201
2022-10-11,97.145,97.145,97.145,97.145,0,201
2022-10-12,97.145,97.145,97.145,97.145,0,201
2022-10-13,97.14,97.14,97.14,97.14,0,201
2022-10-14,97.1425,97.1425,97.1425,97.1425,0,201
2022-10-17,97.1475,97.1475,97.1475,97.1475,0,201
2022-10-18,97.1475,97.1475,97.1475,97.1475,0,201
2022-10-19,97.14,97.14,97.14,97.14,0,201
2022-10-20,97.1375,97.1375,97.1375,97.1375,0,201
2022-10-21,97.15,97.15,97.15,97.15,0,201
2022-10-24,97.1375,97.1375,97.1375,97.1375,0,201
2022-10-25,97.15,97.15,97.15,97.15,0,201
2022-10-26,97.1525,97.1525,97.1525,97.1525,0,201
2022-10-27,97.1775,97.1775,97.1775,97.1775,0,201
2022-10-28,97.145,97.145,97.145,97.145,0,201
