datetime,open,high,low,close,volume,position
2018-05-07,97.21,97.21,97.21,97.21,0,0
2018-05-08,97.2,97.2,97.2,97.2,0,0
2018-05-09,97.175,97.175,97.175,97.175,0,0
2018-05-10,97.155,97.155,97.155,97.155,0,0
2018-05-11,97.14,97.14,97.14,97.14,0,0
2018-05-14,97.135,97.135,97.135,97.135,0,0
2018-05-15,97.105,97.105,97.105,97.105,0,0
2018-05-16,97.095,97.095,97.095,97.095,0,0
2018-05-17,97.08,97.08,97.08,97.08,0,0
2018-05-18,97.105,97.105,97.105,97.105,0,0
2018-05-21,97.09,97.09,97.09,97.09,0,0
2018-05-22,97.1,97.1,97.1,97.1,0,0
2018-05-23,97.15,97.15,97.15,97.15,0,0
2018-05-24,97.18,97.18,97.18,97.18,0,0
2018-05-25,97.21,97.21,97.21,97.21,0,0
2018-05-29,97.425,97.425,97.425,97.425,0,0
2018-05-30,97.33,97.33,97.33,97.33,0,0
2018-05-31,97.335,97.335,97.335,97.335,0,0
2018-06-01,97.265,97.265,97.265,97.265,0,0
2018-06-04,97.225,97.225,97.225,97.225,0,0
2018-06-05,97.245,97.245,97.245,97.245,0,0
2018-06-06,97.205,97.205,97.205,97.205,0,0
2018-06-07,97.215,97.215,97.215,97.215,0,0
2018-06-08,97.25,97.25,97.25,97.25,0,0
2018-06-11,97.24,97.24,97.24,97.24,0,0
2018-06-12,97.225,97.225,97.225,97.225,0,0
2018-06-13,97.19,97.19,97.19,97.19,0,0
2018-06-14,97.19,97.19,97.19,97.19,0,0
2018-06-15,97.205,97.205,97.205,97.205,0,0
2018-06-18,97.195,97.195,97.195,97.195,0,0
2018-06-19,97.225,97.225,97.225,97.225,0,0
2018-06-20,97.22,97.22,97.22,97.22,0,0
2018-06-21,97.23,97.23,97.23,97.23,0,0
2018-06-22,97.23,97.23,97.23,97.23,0,0
2018-06-25,97.26,97.26,97.26,97.26,0,0
2018-06-26,97.275,97.275,97.275,97.275,0,0
2018-06-27,97.32,97.32,97.32,97.32,0,0
2018-06-28,97.325,97.325,97.325,97.325,0,0
2018-06-29,97.32,97.32,97.32,97.32,0,0
2018-07-02,97.32,97.32,97.32,97.32,0,0
2018-07-03,97.325,97.325,97.325,97.325,0,0
2018-07-05,97.31,97.31,97.31,97.31,0,0
2018-07-06,97.33,97.33,97.33,97.33,0,0
2018-07-09,97.32,97.32,97.32,97.32,0,0
2018-07-10,97.31,97.31,97.31,97.31,0,0
2018-07-11,97.315,97.315,97.315,97.315,0,0
2018-07-12,97.31,97.31,97.31,97.31,0,0
2018-07-13,97.325,97.325,97.325,97.325,0,0
2018-07-16,97.315,97.315,97.315,97.315,0,0
2018-07-17,97.29,97.29,97.29,97.29,0,0
2018-07-18,97.285,97.285,97.285,97.285,0,0
2018-07-19,97.3,97.3,97.3,97.3,0,0
2018-07-20,97.295,97.295,97.295,97.295,0,0
2018-07-23,97.26,97.26,97.26,97.26,0,0
2018-07-24,97.25,97.25,97.25,97.25,0,0
2018-07-25,97.25,97.25,97.25,97.25,0,0
2018-07-26,97.205,97.205,97.205,97.205,0,0
2018-07-27,97.21,97.21,97.21,97.21,0,0
