datetime,open,high,low,close,volume,position
2023-04-17,95.245,95.275,95.245,95.275,1,1
2023-04-18,95.25,95.25,95.25,95.25,0,1
2023-04-19,95.2,95.2,95.2,95.2,0,1
2023-04-20,95.26,95.26,95.26,95.26,0,1
2023-04-21,95.28,95.28,95.21,95.235,2,2
2023-04-24,95.26,95.26,95.26,95.26,0,2
2023-04-25,95.43,95.43,95.43,95.43,2,4
2023-04-26,95.425,95.425,95.42,95.42,200,52
2023-04-27,95.28,95.28,95.26,95.26,94,52
2023-04-28,95.24,95.275,95.24,95.275,50,52
2023-05-01,95.215,95.245,95.215,95.215,40,52
2023-05-02,95.4,95.4,95.375,95.375,138,52
2023-05-03,95.37,95.37,95.37,95.37,0,52
2023-05-04,95.52,95.685,95.48,95.625,486,231
2023-05-05,95.515,95.515,95.45,95.46,44,231
2023-05-08,95.455,95.455,95.37,95.385,110,241
2023-05-09,95.35,95.37,95.35,95.37,5,246
2023-05-10,95.465,95.465,95.465,95.465,0,246
2023-05-11,95.45,95.45,95.45,95.45,0,246
2023-05-12,95.43,95.43,95.37,95.37,1,246
2023-05-15,95.34,95.355,95.34,95.355,10,254
2023-05-16,95.295,95.295,95.295,95.295,0,254
2023-05-17,95.245,95.245,95.245,95.245,0,254
2023-05-18,95.145,95.145,95.14,95.14,2,254
2023-05-19,95.16,95.16,95.16,95.16,0,254
2023-05-22,95.1,95.1,95.1,95.1,0,254
2023-05-23,95.045,95.075,95.045,95.075,8,260
2023-05-24,95.0,95.0,95.0,95.0,0,260
2023-05-25,94.86,94.88,94.86,94.88,78,260
2023-05-26,94.835,94.835,94.835,94.835,0,260
2023-05-30,94.875,94.875,94.855,94.855,1,259
2023-05-31,94.91,94.91,94.91,94.91,0,259
2023-06-01,94.955,94.955,94.955,94.955,39,259
2023-06-02,94.875,94.875,94.85,94.85,3,259
2023-06-05,94.85,94.865,94.85,94.865,100,259
2023-06-06,94.86,94.86,94.86,94.86,0,259
2023-06-07,94.845,94.845,94.845,94.845,0,259
2023-06-08,94.86,94.86,94.86,94.86,0,259
2023-06-09,94.82,94.82,94.82,94.82,0,259
2023-06-12,94.795,94.795,94.795,94.795,0,259
2023-06-13,94.785,94.785,94.735,94.765,29,259
2023-06-14,94.76,94.76,94.645,94.725,231,259
2023-06-15,94.695,94.73,94.695,94.73,1,258
2023-06-16,94.71,94.71,94.71,94.71,0,258
2023-06-20,94.7,94.7,94.68,94.69,451,428
2023-06-21,94.68,94.68,94.68,94.68,0,428
2023-06-22,94.66,94.66,94.615,94.65,172,427
2023-06-23,94.67,94.67,94.67,94.67,0,427
2023-06-26,94.66,94.66,94.66,94.66,0,427
2023-06-27,94.66,94.66,94.625,94.635,61,427
2023-06-28,94.62,94.635,94.61,94.635,16,428
2023-06-29,94.605,94.605,94.53,94.565,110,437
2023-06-30,94.56,94.585,94.55,94.585,21,439
2023-07-03,94.555,94.58,94.555,94.58,5,439
2023-07-05,94.59,94.595,94.59,94.59,60,444
2023-07-06,94.58,94.58,94.525,94.545,153,524
2023-07-07,94.56,94.56,94.56,94.56,0,524
2023-07-10,94.57,94.57,94.57,94.57,0,524
2023-07-11,94.555,94.555,94.55,94.555,12,532
2023-07-12,94.565,94.6,94.565,94.6,8,532
2023-07-13,94.645,94.645,94.625,94.625,11,543
2023-07-14,94.59,94.605,94.59,94.6,2,544
2023-07-17,94.595,94.595,94.595,94.595,0,544
2023-07-18,94.595,94.595,94.595,94.595,10,543
2023-07-19,94.595,94.6,94.595,94.6,1,544
2023-07-20,94.575,94.585,94.575,94.575,2,545
2023-07-21,94.585,94.585,94.575,94.585,206,640
2023-07-24,94.57,94.57,94.56,94.57,8,648
2023-07-25,94.56,94.56,94.555,94.555,3,651
2023-07-26,94.55,94.56,94.54,94.56,115,760
2023-07-27,94.56,94.565,94.555,94.565,101,849
2023-07-28,94.575,94.575,94.575,94.575,0,849
2023-07-31,94.585,94.585,94.575,94.575,75,880
2023-08-01,94.575,94.575,94.575,94.575,0,880
2023-08-02,94.58,94.58,94.575,94.58,10,890
2023-08-03,94.58,94.58,94.57,94.575,20,898
2023-08-04,94.565,94.59,94.56,94.585,12,909
2023-08-07,94.59,94.59,94.585,94.585,16,925
2023-08-08,94.595,94.595,94.585,94.585,21,940
2023-08-09,94.585,94.585,94.585,94.585,0,940
2023-08-10,94.595,94.595,94.595,94.595,11,951
2023-08-11,94.585,94.585,94.565,94.58,55,1005
2023-08-14,94.56,94.57,94.555,94.565,22,1005
2023-08-15,94.57,94.57,94.57,94.57,0,1005
2023-08-16,94.58,94.58,94.555,94.56,13,1011
2023-08-17,94.55,94.57,94.55,94.56,471,1220
2023-08-18,94.575,94.575,94.575,94.575,1,1220
2023-08-21,94.565,94.565,94.56,94.56,2,1218
2023-08-22,94.555,94.555,94.55,94.55,350,1517
2023-08-23,94.555,94.57,94.555,94.56,202,1616
2023-08-24,94.535,94.535,94.535,94.535,0,1616
2023-08-25,94.52,94.52,94.515,94.515,8,1621
2023-08-28,94.505,94.51,94.505,94.51,5,1621
2023-08-29,94.495,94.54,94.495,94.535,40,1621
2023-08-30,94.56,94.56,94.54,94.545,125,1578
2023-08-31,94.545,94.565,94.545,94.555,86,1578
2023-09-01,94.545,94.57,94.545,94.57,50,1599
2023-09-05,94.565,94.565,94.555,94.555,30,1599
2023-09-06,94.565,94.565,94.55,94.55,25,1599
2023-09-07,94.54,94.545,94.54,94.545,215,1601
2023-09-08,94.545,94.545,94.545,94.545,0,1601
2023-09-11,94.54,94.54,94.54,94.54,0,1601
2023-09-12,94.545,94.545,94.545,94.545,0,1601
2023-09-13,94.55,94.56,94.55,94.55,200,1727
2023-09-14,94.57,94.57,94.56,94.56,6,1727
2023-09-15,94.555,94.565,94.555,94.565,327,1951
2023-09-18,94.5625,94.5625,94.56,94.5625,10,1952
2023-09-19,94.575,94.575,94.565,94.565,155,2020
2023-09-20,94.5725,94.575,94.5675,94.5675,180,2078
2023-09-21,94.575,94.575,94.57,94.57,7,2076
2023-09-22,94.58,94.58,94.58,94.58,0,2076
2023-09-25,94.5825,94.5825,94.5825,94.5825,0,2076
2023-09-26,94.58,94.5875,94.58,94.5875,55,2041
2023-09-27,94.6,94.6,94.575,94.5825,370,1999
2023-09-28,94.58,94.595,94.58,94.5875,18,1992
2023-09-29,94.595,94.595,94.5925,94.5925,52,1992
2023-10-02,94.5675,94.575,94.5575,94.575,53,1942
2023-10-03,94.56,94.5675,94.56,94.5675,355,1954
2023-10-04,94.5875,94.5875,94.5825,94.5825,4,1950
2023-10-05,94.585,94.595,94.585,94.585,26,1962
2023-10-06,94.5825,94.5825,94.5625,94.5725,61,1962
2023-10-09,94.605,94.6125,94.6025,94.6025,52,1968
2023-10-10,94.6025,94.605,94.6,94.6,267,2100
2023-10-11,94.5975,94.615,94.595,94.605,523,2219
2023-10-12,94.61,94.61,94.59,94.5975,697,2810
2023-10-13,94.6075,94.6075,94.6025,94.6025,129,2915
2023-10-16,94.6,94.605,94.5975,94.6025,672,3453
2023-10-17,94.605,94.605,94.5925,94.5925,54,3450
2023-10-18,94.595,94.6,94.595,94.6,15,3450
2023-10-19,94.595,94.62,94.595,94.6125,413,3826
2023-10-20,94.6275,94.635,94.625,94.625,49,3826
2023-10-23,94.6225,94.63,94.6225,94.6225,16,3826
2023-10-24,94.6225,94.63,94.62,94.6225,577,4386
2023-10-25,94.62,94.62,94.62,94.62,0,4386
2023-10-26,94.625,94.635,94.625,94.625,41,4386
2023-10-27,94.635,94.635,94.6325,94.6325,11,4386
2023-10-30,94.63,94.63,94.63,94.63,0,4386
2023-10-31,94.62,94.6275,94.62,94.6275,14,4386
2023-11-01,94.6275,94.6275,94.6275,94.6275,0,4386
2023-11-02,94.635,94.635,94.6275,94.6275,100,4286
2023-11-03,94.635,94.6375,94.635,94.6375,54,4340
2023-11-06,94.645,94.645,94.6375,94.6375,14,4340
2023-11-07,94.635,94.64,94.635,94.64,103,4355
2023-11-08,94.64,94.64,94.64,94.64,0,4355
2023-11-09,94.6375,94.6375,94.6375,94.6375,0,4355
2023-11-10,94.64,94.64,94.64,94.64,15,4355
2023-11-13,94.635,94.635,94.6275,94.635,432,4335
2023-11-14,94.625,94.645,94.625,94.64,5,4335
2023-11-15,94.635,94.64,94.635,94.64,1,4335
2023-11-16,94.64,94.64,94.64,94.64,0,4335
2023-11-17,94.635,94.64,94.635,94.64,32,4367
2023-11-20,94.6375,94.6375,94.6375,94.6375,25,4342
2023-11-21,94.64,94.64,94.6375,94.6375,3,4342
2023-11-22,94.635,94.635,94.635,94.635,0,4342
2023-11-24,94.635,94.635,94.635,94.635,0,4342
2023-11-27,94.63,94.635,94.63,94.635,122,4460
2023-11-28,94.635,94.635,94.635,94.635,0,4460
2023-11-29,94.64,94.64,94.6375,94.6375,1,4460
2023-11-30,94.635,94.635,94.635,94.635,34,4494
2023-12-01,94.6375,94.6375,94.6375,94.6375,0,4494
2023-12-04,94.63,94.63,94.625,94.6275,450,4744
2023-12-05,94.625,94.63,94.625,94.63,251,4494
2023-12-06,94.6325,94.6325,94.6325,94.6325,0,4494
2023-12-07,94.6325,94.6325,94.6325,94.6325,1013,4494
2023-12-08,94.635,94.635,94.63,94.63,1,4494
2023-12-11,94.63,94.6325,94.63,94.6325,1,4494
2023-12-12,94.635,94.635,94.63,94.63,50,4444
2023-12-13,94.635,94.635,94.6325,94.6325,25,4419
2023-12-14,94.6375,94.6375,94.6325,94.6325,600,4419
2023-12-15,94.6325,94.6325,94.6325,94.6325,312,4481
2023-12-18,94.6325,94.635,94.6325,94.635,355,4481
2023-12-19,94.635,94.635,94.6325,94.635,905,4670
2023-12-20,94.635,94.6375,94.635,94.6375,475,4995
2023-12-21,94.6375,94.6375,94.6375,94.6375,0,4995
2023-12-22,94.6375,94.6375,94.6375,94.6375,0,4995
2023-12-26,94.635,94.635,94.635,94.635,55,4995
2023-12-27,94.635,94.635,94.635,94.635,0,4995
2023-12-28,94.6325,94.6325,94.63,94.63,100,4995
2023-12-29,94.6325,94.635,94.6325,94.635,50,4995
