datetime,open,high,low,close,volume,position
2025-05-19,96.1,96.1,96.1,96.1,0,0
2025-05-20,96.095,96.095,96.095,96.095,0,0
2025-05-21,96.085,96.085,96.085,96.085,0,0
2025-05-22,96.075,96.075,96.075,96.075,0,0
2025-05-23,96.06,96.06,96.06,96.06,0,0
2025-05-27,96.065,96.065,96.065,96.065,0,0
2025-05-28,96.045,96.045,96.045,96.045,0,0
2025-05-29,96.09,96.09,96.09,96.09,0,0
2025-05-30,96.12,96.12,96.12,96.12,0,0
2025-06-02,96.105,96.105,96.105,96.105,0,0
2025-06-03,96.095,96.095,96.095,96.095,0,0
2025-06-04,96.08,96.145,96.08,96.145,2,0
2025-06-05,96.15,96.15,96.13,96.13,0,6
2025-06-06,96.06,96.06,96.03,96.03,50,56
2025-06-09,96.035,96.035,96.035,96.035,0,56
2025-06-10,96.025,96.025,96.025,96.025,0,56
2025-06-11,96.03,96.075,96.03,96.075,21,77
2025-06-12,96.105,96.105,96.105,96.105,0,77
2025-06-13,96.09,96.09,96.09,96.09,0,77
2025-06-16,96.055,96.055,96.055,96.055,0,77
2025-06-17,96.035,96.035,96.035,96.035,0,77
2025-06-18,96.03,96.045,96.03,96.045,21,77
2025-06-20,96.08,96.08,96.08,96.08,0,77
2025-06-23,96.145,96.145,96.145,96.145,0,77
2025-06-24,96.165,96.165,96.165,96.165,0,77
2025-06-25,96.195,96.195,96.195,96.195,0,77
2025-06-26,96.23,96.23,96.23,96.23,0,77
2025-06-27,96.215,96.215,96.215,96.215,0,77
2025-06-30,96.23,96.23,96.23,96.23,0,77
2025-07-01,96.22,96.22,96.22,96.22,0,77
2025-07-02,96.225,96.225,96.225,96.225,0,77
2025-07-03,96.095,96.095,96.095,96.095,0,77
2025-07-07,96.085,96.085,96.085,96.085,0,77
2025-07-08,96.07,96.07,96.07,96.07,0,77
2025-07-09,96.095,96.095,96.095,96.095,0,77
2025-07-10,96.1,96.1,96.1,96.1,0,77
2025-07-11,96.065,96.065,96.065,96.065,0,77
2025-07-14,96.065,96.065,96.065,96.065,0,77
2025-07-15,96.015,96.015,96.015,96.015,0,77
2025-07-16,96.035,96.035,96.035,96.035,0,77
2025-07-17,96.01,96.01,96.01,96.01,0,77
2025-07-18,96.035,96.035,96.035,96.035,0,77
2025-07-21,96.03,96.03,96.03,96.03,0,77
2025-07-22,96.035,96.035,96.035,96.035,0,77
2025-07-23,96.03,96.03,96.03,96.03,0,77
2025-07-24,96.015,96.015,96.005,96.005,1,78
2025-07-25,96.02,96.02,96.02,96.02,0,78
2025-07-28,96.01,96.02,96.01,96.015,9,87
2025-07-29,96.03,96.03,96.03,96.03,0,87
2025-07-30,96.02,96.02,95.96,95.96,2,89
2025-07-31,95.93,95.93,95.92,95.92,11,97
2025-08-01,96.065,96.21,96.065,96.165,199,215
2025-08-04,96.19,96.21,96.19,96.19,105,320
2025-08-05,96.17,96.17,96.17,96.17,0,320
2025-08-06,96.19,96.19,96.19,96.19,0,320
2025-08-07,96.185,96.19,96.17,96.17,149,409
2025-08-08,96.165,96.165,96.165,96.165,0,409
2025-08-11,96.155,96.155,96.155,96.155,0,409
2025-08-12,96.18,96.18,96.18,96.18,0,409
2025-08-13,96.21,96.21,96.21,96.21,0,409
2025-08-14,96.155,96.155,96.155,96.155,0,409
2025-08-15,96.16,96.16,96.125,96.125,10,419
2025-08-18,96.115,96.115,96.115,96.115,40,459
2025-08-19,96.13,96.135,96.125,96.125,28,475
2025-08-20,96.125,96.125,96.115,96.115,545,802
2025-08-21,96.09,96.09,96.065,96.065,33,808
2025-08-22,96.145,96.145,96.125,96.125,77,832
2025-08-25,96.105,96.11,96.105,96.11,57,955
2025-08-26,96.12,96.12,96.12,96.12,1,992
2025-08-27,96.135,96.135,96.135,96.135,0,877
2025-08-28,96.12,96.13,96.115,96.13,2,973
2025-08-29,96.125,96.14,96.125,96.14,40,921
2025-09-02,96.135,96.135,96.135,96.135,6,990
2025-09-03,96.13,96.155,96.13,96.155,818,1045
2025-09-04,96.155,96.17,96.155,96.165,1319,1271
2025-09-05,96.27,96.285,96.255,96.26,393,1462
2025-09-08,96.275,96.28,96.27,96.275,1198,1919
2025-09-09,96.275,96.275,96.25,96.25,203,1742
2025-09-10,96.25,96.25,96.25,96.25,0,1793
2025-09-11,96.28,96.28,96.28,96.28,0,1661
2025-09-12,96.265,96.265,96.26,96.26,1,1649
2025-09-15,96.26,96.26,96.245,96.245,110,1667
2025-09-16,96.255,96.255,96.2525,96.2525,7,1597
2025-09-17,96.245,96.26,96.245,96.26,101,1883
2025-09-18,96.26,96.26,96.255,96.255,405,2063
2025-09-19,96.245,96.255,96.245,96.255,225,2011
2025-09-22,96.23,96.24,96.23,96.24,10,2021
2025-09-23,96.24,96.24,96.24,96.24,154,2135
2025-09-24,96.23,96.23,96.23,96.23,1,1935
2025-09-25,96.19,96.19,96.19,96.19,0,1935
2025-09-26,96.2,96.2,96.195,96.195,17,1920
2025-09-29,96.205,96.205,96.205,96.205,3,1937
2025-09-30,96.225,96.225,96.225,96.225,19,1921
2025-10-01,96.255,96.255,96.255,96.255,1652,1982
2025-10-02,96.255,96.255,96.25,96.25,37,2089
2025-10-03,96.24,96.245,96.24,96.245,1,1996
2025-10-06,96.24,96.24,96.24,96.24,668,1931
2025-10-07,96.23,96.24,96.23,96.24,623,1929
2025-10-08,96.235,96.24,96.235,96.235,164,2051
2025-10-09,96.24,96.24,96.225,96.235,474,2238
2025-10-10,96.245,96.265,96.235,96.255,279,2392
2025-10-13,96.255,96.2675,96.255,96.2675,76,2392
2025-10-14,96.275,96.275,96.265,96.265,169,2310
2025-10-15,96.2525,96.2525,96.25,96.2525,99,2238
2025-10-16,96.2525,96.305,96.25,96.285,753,2100
2025-10-17,96.3025,96.315,96.275,96.2825,1388,2331
2025-10-20,96.27,96.2725,96.27,96.2725,79,2339
2025-10-21,96.2675,96.2675,96.255,96.255,59,2355
2025-10-22,96.2525,96.255,96.2525,96.255,9,2353
2025-10-23,96.24,96.2525,96.24,96.2525,303,2345
2025-10-24,96.2475,96.2625,96.2475,96.2625,213,2412
2025-10-27,96.255,96.2575,96.2475,96.255,383,2549
2025-10-28,96.255,96.255,96.2425,96.255,216,2556
2025-10-29,96.2525,96.2525,96.155,96.1825,158,2439
2025-10-30,96.16,96.175,96.16,96.1675,621,3019
2025-10-31,96.1675,96.1675,96.1425,96.1525,219,3004
2025-11-03,96.16,96.1625,96.15,96.15,0,2968
2025-11-04,96.1575,96.165,96.1575,96.1625,52,2954
2025-11-05,96.175,96.175,96.155,96.155,240,3114
2025-11-06,96.165,96.1725,96.165,96.1725,107,3210
2025-11-07,96.1725,96.1725,96.17,96.17,2,3208
2025-11-10,96.165,96.165,96.15,96.155,214,3644
2025-11-11,96.1625,96.1625,96.1625,96.1625,3,3214
2025-11-12,96.1575,96.1575,96.1575,96.1575,80,3207
2025-11-13,96.1275,96.135,96.1225,96.13,65,3117
2025-11-14,96.1225,96.135,96.12,96.12,132,3015
2025-11-17,96.1125,96.115,96.105,96.115,519,3182
2025-11-18,96.1225,96.13,96.1175,96.1175,213,3094
2025-11-19,96.12,96.12,96.095,96.0975,64,3067
2025-11-20,96.0875,96.1125,96.0875,96.0975,135,3234
2025-11-21,96.1,96.15,96.095,96.1375,558,3401
2025-11-24,96.1375,96.1675,96.1375,96.1625,123,3213
2025-11-25,96.155,96.1675,96.155,96.1675,263,3217
2025-11-26,96.17,96.17,96.1625,96.165,166,3089
2025-11-28,96.1675,96.175,96.165,96.17,147,2936
2025-12-01,96.175,96.175,96.1725,96.175,85,2944
2025-12-02,96.1775,96.1825,96.1775,96.18,251,3169
2025-12-03,96.185,96.19,96.185,96.1875,979,3054
2025-12-04,96.1875,96.1875,96.185,96.1875,857,2635
2025-12-05,96.185,96.185,96.185,96.185,18,2626
2025-12-08,96.185,96.185,96.185,96.185,0,2653
2025-12-09,96.1875,96.1925,96.1875,96.1875,198,2681
2025-12-10,96.2,96.21,96.2,96.2075,80,2712
2025-12-11,96.215,96.215,96.21,96.21,298,2730
2025-12-12,96.215,96.215,96.2125,96.2125,71,2908
2025-12-15,96.2175,96.2175,96.215,96.215,2,2720
2025-12-16,96.2175,96.2175,96.2125,96.215,50,2803
2025-12-17,96.215,96.22,96.215,96.2175,606,3230
2025-12-18,96.22,96.22,96.2175,96.2175,4,3710
2025-12-19,96.22,96.22,96.215,96.215,600,3753
2025-12-22,96.2175,96.2175,96.215,96.215,2,4251
2025-12-23,96.215,96.2175,96.2125,96.2175,135,4165
2025-12-24,96.2175,96.22,96.2175,96.22,128,4305
2025-12-26,96.2225,96.2225,96.22,96.22,10,3810
2025-12-29,96.2225,96.225,96.2225,96.225,50,4042
2025-12-30,96.225,96.23,96.225,96.23,248,4183
2025-12-31,96.23,96.2325,96.23,96.23,46,0
