date,label,Z26_Dec26,H27_Mar27,M27_Jun27
2026-06-16,6/16 讲话前,3.885,3.94,3.94
2026-06-17,6/17 讲话后,4.035,4.095,4.08
2026-06-18,6/18 确认日,4.095,4.145,4.11
2026-06-22,2026-06-22,4.125,4.19,4.175
2026-06-23,2026-06-23,4.08,4.14,4.125
2026-06-24,2026-06-24,4.035,4.075,4.045
2026-06-25,2026-06-25,4.02,4.05,4.015
2026-06-26,2026-06-26,3.98,4.01,3.98
2026-06-29,2026-06-29,4.01,4.04,4.0
2026-06-30,2026-06-30,4.04,4.08,4.045
2026-07-01,2026-07-01,4.055,4.11,4.08
2026-07-02,2026-07-02,4.0,4.055,4.035
2026-07-06,2026-07-06,3.995,4.045,4.02
2026-07-07,2026-07-07,4.03,4.09,4.07
2026-07-08,2026-07-08,4.06,4.125,4.11
