date,two_y,three_m,spread_bp
2025-04-17,3.8,4.328,-52.8
2025-04-21,3.769,4.33,-56.1
2025-04-22,3.821,4.322,-50.1
2025-04-23,3.869,4.317,-44.8
2025-04-24,3.793,4.311,-51.8
2025-04-25,3.756,4.305,-54.9
2025-04-28,3.689,4.299,-61.0
2025-04-29,3.656,4.296,-64.0
2025-04-30,3.613,4.294,-68.1
2025-05-01,3.697,4.301,-60.4
2025-05-02,3.822,4.32,-49.8
2025-05-05,3.841,4.32,-47.9
2025-05-06,3.785,4.32,-53.5
2025-05-07,3.783,4.325,-54.2
2025-05-08,3.88,4.337,-45.7
2025-05-09,3.889,4.325,-43.6
2025-05-12,4.012,4.397,-38.5
2025-05-13,4.002,4.402,-40.0
2025-05-14,4.059,4.392,-33.3
2025-05-15,3.954,4.368,-41.4
2025-05-16,3.993,4.354,-36.1
2025-05-19,3.972,4.353,-38.1
2025-05-20,3.97,4.364,-39.4
2025-05-21,4.022,4.343,-32.1
2025-05-22,3.99,4.353,-36.3
2025-05-23,3.993,4.345,-35.2
2025-05-27,3.977,4.319,-34.2
2025-05-28,3.992,4.335,-34.3
2025-05-29,3.939,4.353,-41.4
2025-05-30,3.9,4.346,-44.6
2025-06-02,3.939,4.345,-40.6
2025-06-03,3.957,4.351,-39.4
2025-06-04,3.869,4.345,-47.6
2025-06-05,3.92,4.342,-42.2
2025-06-06,4.037,4.346,-30.9
2025-06-09,4.005,4.356,-35.1
2025-06-10,4.024,4.358,-33.4
2025-06-11,3.951,4.361,-41.0
2025-06-12,3.912,4.384,-47.2
2025-06-13,3.95,4.367,-41.7
2025-06-16,3.973,4.361,-38.8
2025-06-17,3.946,4.332,-38.6
2025-06-18,3.939,4.348,-40.9
2025-06-20,3.906,4.315,-40.9
2025-06-23,3.863,4.273,-41.0
2025-06-24,3.821,4.301,-48.0
2025-06-25,3.781,4.296,-51.5
2025-06-26,3.719,4.329,-61.0
2025-06-27,3.746,4.307,-56.1
2025-06-30,3.727,4.304,-57.7
2025-07-01,3.772,4.34,-56.8
2025-07-02,3.791,4.348,-55.7
2025-07-03,3.886,4.364,-47.8
2025-07-07,3.897,4.351,-45.4
2025-07-08,3.897,4.364,-46.7
2025-07-09,3.849,4.361,-51.2
2025-07-10,3.872,4.358,-48.6
2025-07-11,3.893,4.346,-45.3
2025-07-14,3.904,4.34,-43.6
2025-07-15,3.954,4.366,-41.2
2025-07-16,3.894,4.353,-45.9
2025-07-17,3.907,4.348,-44.1
2025-07-18,3.869,4.341,-47.2
2025-07-21,3.861,4.335,-47.4
2025-07-22,3.833,4.343,-51.0
2025-07-23,3.884,4.361,-47.7
2025-07-24,3.916,4.358,-44.2
2025-07-25,3.921,4.354,-43.3
2025-07-28,3.93,4.345,-41.5
2025-07-29,3.869,4.34,-47.1
2025-07-30,3.943,4.358,-41.5
2025-07-31,3.961,4.348,-38.7
2025-08-01,3.68,4.299,-61.9
2025-08-04,3.679,4.263,-58.4
2025-08-05,3.726,4.255,-52.9
2025-08-06,3.714,4.242,-52.8
2025-08-07,3.724,4.244,-52.0
2025-08-08,3.762,4.248,-48.6
2025-08-11,3.766,4.258,-49.2
2025-08-12,3.733,4.242,-50.9
2025-08-13,3.679,4.206,-52.7
2025-08-14,3.735,4.223,-48.8
2025-08-15,3.755,4.222,-46.7
2025-08-18,3.769,4.232,-46.3
2025-08-19,3.754,4.221,-46.7
2025-08-20,3.752,4.216,-46.4
2025-08-21,3.79,4.239,-44.9
2025-08-22,3.698,4.196,-49.8
2025-08-25,3.724,4.201,-47.7
2025-08-26,3.683,4.196,-51.3
2025-08-27,3.615,4.175,-56.0
2025-08-28,3.633,4.182,-54.9
2025-08-29,3.621,4.155,-53.4
2025-09-02,3.641,4.133,-49.2
2025-09-03,3.619,4.123,-50.4
2025-09-04,3.592,4.089,-49.7
2025-09-05,3.509,4.02,-51.1
2025-09-08,3.49,4.03,-54.0
2025-09-09,3.556,4.045,-48.9
2025-09-10,3.544,4.037,-49.3
2025-09-11,3.544,4.034,-49.0
2025-09-12,3.562,4.033,-47.1
2025-09-15,3.537,3.997,-46.0
2025-09-16,3.51,3.983,-47.3
2025-09-17,3.553,3.973,-42.0
2025-09-18,3.572,3.978,-40.6
2025-09-19,3.574,3.979,-40.5
2025-09-22,3.605,3.945,-34.0
2025-09-23,3.588,3.947,-35.9
2025-09-24,3.606,3.96,-35.4
2025-09-25,3.661,3.986,-32.5
2025-09-26,3.643,3.964,-32.1
2025-09-29,3.625,3.963,-33.8
2025-09-30,3.617,3.947,-33.0
2025-10-01,3.535,3.94,-40.5
2025-10-02,3.541,3.955,-41.4
2025-10-03,3.576,3.961,-38.5
2025-10-06,3.592,3.953,-36.1
2025-10-07,3.57,3.942,-37.2
2025-10-08,3.584,3.942,-35.8
2025-10-09,3.599,3.962,-36.3
2025-10-10,3.531,3.953,-42.2
2025-10-14,3.485,3.95,-46.5
2025-10-15,3.497,3.96,-46.3
2025-10-16,3.422,3.944,-52.2
2025-10-17,3.464,3.925,-46.1
2025-10-20,3.459,3.888,-42.9
2025-10-21,3.455,3.885,-43.0
2025-10-22,3.447,3.885,-43.8
2025-10-23,3.493,3.887,-39.4
2025-10-24,3.484,3.858,-37.4
2025-10-27,3.497,3.818,-32.1
2025-10-28,3.49,3.815,-32.5
2025-10-29,3.596,3.88,-28.4
2025-10-30,3.61,3.854,-24.4
2025-10-31,3.58,3.839,-25.9
2025-11-03,3.605,3.88,-27.5
2025-11-04,3.576,3.888,-31.2
2025-11-05,3.634,3.885,-25.1
2025-11-06,3.557,3.859,-30.2
2025-11-07,3.56,3.858,-29.8
2025-11-10,3.595,3.877,-28.2
2025-11-12,3.566,3.877,-31.1
2025-11-13,3.589,3.89,-30.1
2025-11-14,3.608,3.886,-27.8
2025-11-17,3.612,3.873,-26.1
2025-11-18,3.577,3.875,-29.8
2025-11-19,3.594,3.882,-28.8
2025-11-20,3.537,3.872,-33.5
2025-11-21,3.505,3.834,-32.9
2025-11-24,3.501,3.824,-32.3
2025-11-25,3.457,3.825,-36.8
2025-11-26,3.477,3.848,-37.1
2025-11-28,3.497,3.808,-31.1
2025-12-01,3.532,3.777,-24.5
2025-12-02,3.512,3.769,-25.7
2025-12-03,3.486,3.725,-23.9
2025-12-04,3.525,3.714,-18.9
2025-12-05,3.564,3.708,-14.4
2025-12-08,3.579,3.705,-12.6
2025-12-09,3.615,3.727,-11.2
2025-12-10,3.542,3.676,-13.4
2025-12-11,3.538,3.657,-11.9
2025-12-12,3.524,3.625,-10.1
2025-12-15,3.508,3.628,-12.0
2025-12-16,3.489,3.632,-14.3
2025-12-17,3.485,3.632,-14.7
2025-12-18,3.464,3.613,-14.9
2025-12-19,3.485,3.612,-12.7
2025-12-22,3.507,3.62,-11.3
2025-12-23,3.534,3.642,-10.8
2025-12-24,3.51,3.647,-13.7
2025-12-26,3.481,3.633,-15.2
2025-12-29,3.457,3.633,-17.6
2025-12-30,3.452,3.629,-17.7
2025-12-31,3.475,3.639,-16.4
2026-01-02,3.475,3.623,-14.8
2026-01-05,3.453,3.599,-14.6
2026-01-06,3.465,3.606,-14.1
2026-01-07,3.472,3.596,-12.4
2026-01-08,3.486,3.598,-11.2
2026-01-09,3.538,3.602,-6.4
2026-01-12,3.539,3.62,-8.1
2026-01-13,3.53,3.645,-11.5
2026-01-14,3.514,3.647,-13.3
2026-01-15,3.568,3.652,-8.4
2026-01-16,3.594,3.64,-4.6
2026-01-20,3.599,3.658,-5.9
2026-01-21,3.591,3.678,-8.7
2026-01-22,3.612,3.675,-6.3
2026-01-23,3.598,3.674,-7.6
2026-01-26,3.592,3.666,-7.4
2026-01-27,3.575,3.663,-8.8
2026-01-28,3.571,3.676,-10.5
2026-01-29,3.559,3.67,-11.1
2026-01-30,3.524,3.664,-14.0
2026-02-02,3.574,3.671,-9.7
2026-02-03,3.572,3.684,-11.2
2026-02-04,3.555,3.686,-13.1
2026-02-05,3.461,3.668,-20.7
2026-02-06,3.495,3.679,-18.4
2026-02-09,3.487,3.687,-20.0
2026-02-10,3.452,3.684,-23.2
2026-02-11,3.512,3.691,-17.9
2026-02-12,3.458,3.691,-23.3
2026-02-13,3.41,3.679,-26.9
2026-02-17,3.439,3.681,-24.2
2026-02-18,3.466,3.694,-22.8
2026-02-19,3.464,3.688,-22.4
2026-02-20,3.482,3.687,-20.5
2026-02-23,3.44,3.677,-23.7
2026-02-24,3.465,3.678,-21.3
2026-02-25,3.477,3.681,-20.4
2026-02-26,3.434,3.678,-24.4
2026-02-27,3.383,3.664,-28.1
2026-03-02,3.477,3.677,-20.0
2026-03-03,3.514,3.684,-17.0
2026-03-04,3.549,3.686,-13.7
2026-03-05,3.583,3.675,-9.2
2026-03-06,3.556,3.667,-11.1
2026-03-09,3.55,3.679,-12.9
2026-03-10,3.592,3.684,-9.2
2026-03-11,3.653,3.689,-3.6
2026-03-12,3.739,3.696,4.3
2026-03-13,3.729,3.692,3.7
2026-03-16,3.673,3.692,-1.9
2026-03-17,3.678,3.694,-1.6
2026-03-18,3.779,3.707,7.2
2026-03-19,3.795,3.701,9.4
2026-03-20,3.907,3.71,19.7
2026-03-23,3.856,3.705,15.1
2026-03-24,3.904,3.712,19.2
2026-03-25,3.887,3.707,18.0
2026-03-26,3.982,3.717,26.5
2026-03-27,3.914,3.692,22.2
2026-03-30,3.836,3.692,14.4
2026-03-31,3.791,3.694,9.7
2026-04-01,3.805,3.696,10.9
2026-04-02,3.805,3.7,10.5
2026-04-06,3.85,3.715,13.5
2026-04-07,3.8,3.704,9.6
2026-04-08,3.792,3.689,10.3
2026-04-09,3.779,3.681,9.8
2026-04-10,3.799,3.685,11.4
2026-04-13,3.776,3.692,8.4
2026-04-14,3.745,3.704,4.1
2026-04-15,3.761,3.704,5.7
2026-04-16,3.78,3.699,8.1
2026-04-17,3.706,3.692,1.4
2026-04-20,3.727,3.684,4.3
2026-04-21,3.785,3.689,9.6
2026-04-22,3.804,3.684,12.0
2026-04-23,3.832,3.683,14.9
2026-04-24,3.785,3.682,10.3
2026-04-27,3.799,3.684,11.5
2026-04-28,3.842,3.678,16.4
2026-04-29,3.947,3.681,26.6
2026-04-30,3.867,3.67,19.7
2026-05-01,3.88,3.664,21.6
2026-05-04,3.946,3.679,26.7
2026-05-05,3.946,3.691,25.5
2026-05-06,3.87,3.686,18.4
2026-05-07,3.911,3.688,22.3
2026-05-08,3.889,3.685,20.4
2026-05-11,3.951,3.687,26.4
2026-05-12,3.994,3.694,30.0
2026-05-13,3.977,3.689,28.8
2026-05-14,4.015,3.683,33.2
2026-05-15,4.079,3.679,40.0
2026-05-18,4.046,3.653,39.3
2026-05-19,4.122,3.663,45.9
2026-05-20,4.057,3.65,40.7
2026-05-21,4.079,3.67,40.9
2026-05-22,4.123,3.674,44.9
2026-05-26,4.036,3.671,36.5
